id,uri,lemma,pos,morpho,principal_parts,irregular_forms,alternative_forms,pronunciation,prosody,validated
205042,,अबलिष्ठ,a,ap----a--a,,,,/ə.bə.ˈliʂ.ʈʰə/,अबलिष्ठ,0
205043,21918,अबल्य,n,n-----n--a,,,,/ə.ˈbəl.jə/,अ-बल्य॔,0
205044,21912,अबला,n,n-----f--ā,,,,/ə.bə.lɑː/,अ-बला॔,0
205047,21917,अबलाबल,a,ap----a--a,,,,/ə.bə.lɑː.bə.lə/,अ-बलाबल,0
205048,,अबलाग्नि,a,ap----a--i,,,,/ə.bə.lɑːg.ni/,अ-ब-लाग्नि,0
205049,,अबलास,a,ap----a--a,,,,/ə.bə.lɑː.sə/,अ-बलास॔,0
205050,201554,अबलीयस्,a,ap----a-sa,,,,/ə.bə.liː.jəs/,अ॔बलीयस्,0
205051,,अबलीयस्त्व,n,n-----n--a,,,,/ə.bə.liː.ˈjəst̪.ʋə/,अ-ब-लीयस्-त्व,0
205052,21900,अबन्द्ध्र,a,ap----a--a,,,,/ə.bənd̪d̪ʰɹə/,अ-बन्द्ध्र॔,0
205053,21901,अबन्धक,a,ap----a--a,,,,/ə.bən.d̪ʰə.kə/,अ-बन्धक,0
205054,21902,अबन्धक,n,n-----m--a,,,,/ə.bən.d̪ʰə.kə/,अ-बन्धक,0
205055,21903,अबन्धन,a,ap----a--a,,,,/ə.bən.d̪ʰə.nə/,अ-बन्धन॔,0
205056,21906,अबन्धु,a,ap----a--u,,,,/ə.bən.d̪ʰu/,अ-बन्धु॔,0
205057,,अबन्धुकृत्,a,ap----a--c,,,,/ə.bən.d̪ʰu.kɹ̩t̪/,अ-बन्धु॔-कृत्,0
205058,,अबन्धुर,a,ap----a--a,,,,/ə.bən.d̪ʰu.ɹə/,अ-बन्धुर,0
205059,,अबन्धुरम्,r,rp--------,,,,/ə.bən.d̪ʰu.ɹəm/,अ-बन्धुरम्,0
205060,21910,अबन्ध्य,a,ap----a--a,,ap----f--ā=>ा,,/ə.bən.d̪ʰjə/,अ-बन्ध्य,0
205062,21892,अबण्ड,a,ap----a--a,,ap----f--ā=>ा,,/ə.ˈbəɳ.ɖə/,अ॔-बण्ड,0
205063,22003,अब्भक्ष,n,n-----m--a,,,,/əb.ˈbʱək.ʂə/,अब्-भक्ष,0
205064,22002,अब्भक्ष,a,ap----a--a,,,,/əb.ˈbʱək.ʂə/,अब्-भक्ष,0
205065,22004,अब्भक्षण,n,n-----n--a,,,,/əb.ˈbʱək.ʂə.ɳə/,अब्-भक्षण,0
205066,22001,अब्बिन्दु,n,n-----m--u,,,,/əb.bin.d̪u/,अब्-बिन्दु,0
205067,,अब्बा,n,n-----f--ā,,,,/əb.bɑː/,अब्बा,0
205068,21973,अब्द,a,ap----a--a,,,,/əb.d̪ə/,अ॔ब्-द,0
205071,21974,अब्द,n,n-----m--a,,,,/əb.d̪ə/,अ॔ब्-द,0
205073,,अब्दभू,a,ap----a--ū,,,,/əb.d̪ə.bʱuː/,अब्द-भू,0
205074,21984,अब्दैवत,a,ap----a--a,,,,/əb.d̪ɑːi.ʋə.t̪ə/,अब्-दैवत,0
205075,,अब्दपर्यय,n,n-----m--a,,,,/əb.d̪ə.ˈpəɹ.jə.jə/,अब्द-पर्यय,0
205076,,अब्दसहस्र,n,n-----n--a,,,,/əb.d̪ə.sə.ˈɦəs.ɹə/,अ॔ब्-द-सहस्र,0
205077,21979,अब्दसार,n,n-----m--a,,,,/əb.d̪ə.sɑː.ɹə/,अ॔ब्-द-सार,0
205078,21975,अब्दतन्त्र,n,n-----n--a,,,,/əb.d̪ə.t̪ən.t̪ɹə/,अ॔ब्-द-तन्त्र,0
205079,21976,अब्दवाहन,n,n-----m--a,,,,/əb.d̪ə.ʋɑː.ɦə.nə/,अ॔ब्-द-वाहन,0
205080,21981,अब्दया,r,rp--------,,,,/əb.d̪ə.jɑː/,अब्दया॔,0
205081,,अब्दशत,n,n-----n--a,,,,/əb.d̪ə.ɕə.t̪ə/,अ॔ब्-द-शत,0
205082,21985,अब्धि,n,n-----m--i,,,,/əb.d̪ʰi/,अब्-धि,0
205083,21993,अब्धिद्वीपा,n,n-----f--ā,,,,/əb.ˈd̪ʰid̪.ʋiː.pɑː/,अब्-धि-द्वीपा,0
205084,21987,अब्धिज,a,ap----a--a,,,,/əb.d̪ʰi.d͡ʑə/,अब्-धि-ज,0
205085,21991,अब्धिझष,n,n-----m--a,,,,/əb.d̪ʰi.d͡ʑʱə.ʂə/,अब्-धि-झष,0
205086,21989,अब्धिजा,n,n-----f--ā,,,,/əb.d̪ʰi.d͡ʑɑː/,अब्-धि-जा,0
205087,21990,अब्धिजीविन्,n,n-----m--n,,,,/əb.d̪ʰi.d͡ʑiː.ʋin/,अब्-धि-जीविन्,0
205088,,अब्धिकन्या,n,n-----f--ā,,,,/əb.d̪ʰi.kən.jɑː/,अब्धि-कन्या,0
205089,21986,अब्धिकफ,n,n-----m--a,,,,/əb.d̪ʰi.kə.pʰə/,अब्-धि-कफ,0
205090,,अब्धिमथन,n,n-----n--a,,,,/əb.d̪ʰi.mə.t̪ʰə.nə/,अब्धि-मथन,0
205091,21997,अब्धिमण्डूकी,n,n-----f--ī,,,,/əb.d̪ʰi.ˈməɳ.ɖuː.kiː/,अब्-धि-मण्डूकी,0
205092,21994,अब्धिनगरी,n,n-----f--ī,,,,/əb.d̪ʰi.nə.gə.ɹiː/,अब्-धि-नगरी,0
205093,21995,अब्धिनवनीतक,n,n-----m--a,,,,/əb.d̪ʰi.nə.ʋə.niː.t̪ə.kə/,अब्-धि-नवनीतक,0
205094,21996,अब्धिफेन,n,n-----m--a,,,,/əb.d̪ʰi.pʰeː.nə/,अब्-धि-फेन,0
205095,21999,अब्धिसार,n,n-----m--a,,,,/əb.d̪ʰi.sɑː.ɹə/,अब्-धि-सार,0
205096,21992,अब्धितनय,n,n-----m--a,,,,/əb.d̪ʰi.t̪ə.nə.jə/,अब्-धि-तनय,0
205097,21992,अब्धितनय,n,n-----m--a,,,,/əb.d̪ʰi.t̪ə.nə.jə/,अब्धि-तनय,0
205098,,अब्धिवस्त्रा,n,n-----f--ā,,,,/əb.d̪ʰi.ˈʋəs.t̪ɹɑː/,अब्धि-वस्त्रा,0
205099,21998,अब्धिशयन,n,n-----m--a,,,,/əb.d̪ʰi.ɕə.jə.nə/,अब्-धि-शयन,0
205100,22000,अब्ध्यग्नि,n,n-----m--i,,,,/əbd̪ʰjəg.ni/,अब्ध्य्-अग्नि,0
205101,21982,अब्दिमत्,a,ap----a--c,,,,/əb.d̪i.mət̪/,अब्दि-म॔त्,0
205102,,अब्दुर्ग,n,n-----n--a,,,,/əb.ˈd̪uɹ.gə/,अब्-दुर्ग,0
205103,,अब्दा,n,n-----f--ā,,,,/əb.d̪ɑː/,अ॔ब्-दा॔,0
205104,,अब्दार्ध,n,n-----n--a,,,,/əb.d̪ɑːɹ.d̪ʰə/,अब्दार्ध,0
205105,22035,अभद्र,n,n-----n--a,,,,/ə.ˈbʱəd̪.ɹə/,अ-भद्र,0
205106,22034,अभद्र,a,ap----a--a,,,,/ə.ˈbʱəd̪.ɹə/,अ-भद्र,0
205107,22029,अभग,a,ap----a--a,,,,/ə.bʱə.gə/,अ-भग॔,0
205108,22030,अभग्न,a,ap----a--a,,,,/ə.ˈbʱəg.nə/,अ-भग्न,0
205109,,अभग्नकाम,a,ap----a--a,,ap----f--ā=>ा,,/ə.ˈbʱəg.nə.kɑː.mə/,अ-भग्न-काम,0
205110,,अभैषज्य,n,n-----n--a,,,,/ə.bʱɑːi.ˈʂəd͡ʑ.jə/,अ-भैषज्य,0
205111,22033,अभज्यमान,a,ap----a--a,,,,/ə.ˈbʱəd͡ʑ.jə.mɑː.nə/,अ-भज्यमान,0
205112,22019,अभक्त,a,ap----a--a,,,,/ə.ˈbʱək.t̪ə/,अ॔-भक्त,0
205113,,अभक्तच्छन्द,n,n-----m--a,,,,/ə.ˈbʱək.ˈt̪ət͡ɕ.t͡ɕʰən.d̪ə/,अ॔-भक्त-च्छन्द,0
205114,22021,अभक्तरुचि,n,n-----f--i,,,,/ə.ˈbʱək.t̪ə.ɹu.t͡ɕi/,अ॔-भक्त-रुचि,0
205115,22022,अभक्ति,n,n-----f--i,,,,/ə.ˈbʱək.t̪i/,अ-भक्ति,0
205116,22023,अभक्तिमत्,a,ap----a--c,,,,/ə.ˈbʱək.t̪i.mət̪/,अ-भक्ति-मत्,0
205117,22024,अभक्ष,n,n-----m--a,,,,/ə.ˈbʱək.ʂə/,अ-भक्ष,0
205118,,अभक्षण,n,n-----n--a,,,,/ə.ˈbʱək.ʂə.ɳə/,अ-भक्षण,0
205119,22025,अभक्षित,a,ap----a--a,,,,/ə.ˈbʱək.ʂi.t̪ə/,अ॔-भक्षित,0
205120,22026,अभक्ष्य,a,ap----a--a,,,,/ə.ˈbʱək.ʂjə/,अ-भक्ष्य,0
205121,,अभक्ष्यभक्षण,n,n-----n--a,,,,/ə.ˈbʱək.ʂjə.ˈbʱək.ʂə.ɳə/,अ-भक्ष्य-भक्षण,0
205122,,अभक्ष्यभक्षिन्,a,ap----a--n,,,,/ə.ˈbʱək.ʂjə.ˈbʱək.ʂin/,अ-भक्ष्य-भक्षिन्,0
205123,22058,अभर्तृका,n,n-----f--ā,,,,/ə.ˈbʱəɹ.t̪ɹ̩.kɑː/,अ-भर्तृका,0
205124,22072,अभस्त्र,a,ap----a--a,,,,/ə.ˈbʱəs.t̪ɹə/,अ-भस्त्र,0
205125,22073,अभस्त्रका,n,n-----f--ā,,,,/ə.ˈbʱəs.t̪ɹə.kɑː/,अ-भस्त्रका,0
205126,22074,अभस्त्रिका,n,n-----f--ā,,,,/ə.ˈbʱəs.t̪ɹi.kɑː/,अ-भस्त्रिका,0
205127,31299,अभौजिष्य,n,n-----n--a,,,,/ə.ˈbʱəौ.ˈd͡ʑiʂ.jə/,अ-भौ॔जिष्य,0
205128,31300,अभौतिक,a,ap----a--a,,,,/ə.ˈbʱəौ.t̪i.kə/,अ-भौतिक,0
205129,22059,अभव,n,n-----m--a,,,,/ə.bʱə.ʋə/,अ-भव,0
205130,22071,अभवदीय,a,ap----a--a,,,,/ə.bʱə.ʋə.d̪iː.jə/,अ-भवदीय,0
205131,,अभवनि,n,n-----f--i,,,,/ə.bʱə.ʋə.ni/,अ-भवनि,0
205132,22062,अभवन्मतसम्बन्ध,n,n-----m--a,,,,/ə.bʱə.ʋən.mə.t̪ə.səm.bən.d̪ʰə/,अ-भवन्-मत-सम्बन्ध,0
205133,22061,अभवन्मतयोग,n,n-----m--a,,,,/ə.bʱə.ʋən.mə.t̪ə.joː.gə/,अ-भवन्-मत-योग,0
205134,22060,अभवनीय,a,ap----a--a,,,,/ə.bʱə.ʋə.niː.jə/,अ-भवनीय,0
205135,22063,अभव्य,a,ap----a--a,,,,/ə.ˈbʱəʋ.jə/,अ-भव्य,0
205136,22064,अभव्यहंस,n,n-----m--a,,,,/ə.ˈbʱəʋ.jə.ˈɦə̃.sə/,अ-भव्य-हंस,0
205137,22039,अभय,n,n-----n--a,,,n-----f--ā=अभयआ,/ə.bʱə.jə/,अ॔-भय,0
205139,22037,अभय,n,n-----m--a,,,,/ə.bʱə.jə/,अ॔-भय,0
205142,22036,अभय,a,ap----a--a,,ap----f--ā=>ा,,/ə.bʱə.jə/,अ॔-भय,0
205144,22036,अभय,a,ap----a--a,,,,/ə.bʱə.jə/,अ-भ॔य,0
205148,22047,अभयद,n,n-----m--a,,,,/ə.bʱə.jə.d̪ə/,अ॔-भय-द,0
205150,,अभयद,a,ap----a--a,,,,/ə.bʱə.jə.d̪ə/,अ॔-भय-द,0
205151,,अभयदक्षिणा,n,n-----f--ā,,,,/ə.bʱə.jə.ˈd̪ək.ʂi.ɳɑː/,अ॔-भय-दक्षिणा,0
205152,,अभयदत्त,n,n-----m--a,,,,/ə.bʱə.jə.ˈd̪ət̪.t̪ə/,अ-भय-दत्त,0
205153,,अभयदान,n,n-----n--a,,,,/ə.bʱə.jə.d̪ɑː.nə/,अ॔-भय-दान,0
205154,,अभयगण,n,n-----m--a,,,,/ə.bʱə.jə.gə.ɳə/,अ-भय-गण,0
205155,22041,अभयगिरिविहार,n,n-----m--a,,,,/ə.bʱə.jə.gi.ɹi.ʋi.ɦɑː.ɹə/,अ॔-भय-गिरि-विहार,0
205156,22041,अभयगिरिविहार,n,n-----m--a,,,,/ə.bʱə.jə.gi.ɹi.ʋi.ɦɑː.ɹə/,अ-भय-गिरि-विहार,0
205157,22040,अभयगिरिवासिन्,n,n-----m--n,,,,/ə.bʱə.jə.gi.ɹi.ʋɑː.sin/,अ॔-भय-गिरि-वासिन्,0
205158,22044,अभयजात,n,n-----m--a,,,,/ə.bʱə.jə.d͡ʑɑː.t̪ə/,अ॔-भय-जात,0
205159,22051,अभयपत्त्र,n,n-----n--a,,,,/ə.bʱə.jə.ˈpət̪.t̪ɹə/,अ॔-भय-पत्त्र,0
205160,,अभयप्रद,a,ap----a--a,,,,/ə.bʱə.ˈjəp.ɹə.d̪ə/,अ॔-भय-प्रद,0
205161,,अभयप्रदान,n,n-----n--a,,,,/ə.bʱə.ˈjəp.ɹə.d̪ɑː.nə/,अ॔-भय-प्रदान,0
205162,22056,अभयसनि,a,ap----a--i,,,,/ə.bʱə.jə.sə.ni/,अ॔-भय-स॔नि,0
205163,,अभयतम,n,n-----n--a,,,,/ə.bʱə.jə.t̪ə.mə/,अ॔-भय-तम,0
205164,22054,अभयवचन,n,n-----n--a,,,,/ə.bʱə.jə.ʋə.t͡ɕə.nə/,अ॔-भय-वचन,0
205165,,अभयवाच्,n,n-----f--c,,,,/ə.bʱə.jə.ʋɑːt͡ɕ/,अ॔-भय-वाच्,0
205166,22053,अभययाचना,n,n-----f--ā,,,,/ə.bʱə.jə.jɑː.t͡ɕə.nɑː/,अ॔-भय-याचना,0
205167,22045,अभयडिण्डिम,n,n-----m--a,,,,/ə.bʱə.jə.ˈɖiɳ.ɖi.mə/,अ॔-भय-डिण्डिम,0
205168,22050,अभयंदद,n,n-----m--a,,,,/ə.bʱə.jən.d̪ə.d̪ə/,अ॔-भय-ं-दद,0
205169,22042,अभयंकर,a,ap----a--a,,,,/ə.bʱə.jəŋ.kə.ɹə/,अ॔-भय-ं-कर॔,0
205170,22043,अभयंकृत्,a,ap----a--c,,,,/ə.bʱə.jəŋ.kɹ̩t̪/,अ॔-भय-ं-कृ॔त्,0
205171,22038,अभया,n,n-----f--ā,,,,/ə.bʱə.jɑː/,अ॔-भया,0
205172,22057,अभयानन्द,n,n-----m--a,,,,/ə.bʱə.jɑː.nən.d̪ə/,अभयानन्द,0
205173,,अभङ्गश्लेष,n,n-----m--a,,,,/əbʱəŋgəɕleːʂə/,अ-भङ्ग-श्लेष,0
205174,22032,अभङ्गुर,a,ap----a--a,,ap----f--ā=>ा,,/ə.bʱəŋ.gu.ɹə/,अ-भङ्गुर,0
205175,31282,अभेद,a,ap----a--a,,,,/ə.bʱeː.d̪ə/,अ-भेद,0
205176,31281,अभेद,n,n-----m--a,,,,/ə.bʱeː.d̪ə/,अ-भेद,0
205177,31283,अभेदक,a,ap----a--a,,,,/ə.bʱeː.d̪ə.kə/,अ-भेदक,0
205178,31284,अभेदिन्,a,ap----a--n,,,,/ə.bʱeː.d̪in/,अ-भेदिन्,0
205179,31286,अभेद्य,n,n-----n--a,,,,/ə.bʱeːd̪.jə/,अ-भेद्य,0
205180,31285,अभेद्य,a,ap----a--a,,,,/ə.bʱeːd̪.jə/,अ-भेद्य,0
205181,31288,अभेद्यत्व,n,n-----n--a,,,,/ə.bʱeːd̪.ˈjət̪.ʋə/,अ-भेद्य-त्व,0
205182,,अभेद्यता,n,n-----f--ā,,,,/ə.bʱeːd̪.jə.t̪ɑː/,अ-भेद्य-ता,0
205183,171289,अभि,r,rp--------,,,,/ə.bʱi/,अभि॔,0
205184,,अभि,a,ap----a--i,,,,/ə.bʱi/,अ-भि,0
205185,22404,अभिबल,n,n-----n--a,,,,/ə.bʱi.bə.lə/,अभि-बल,0
205186,,अभिभज्,v,v----a--1- v----d--1-,,,,/ə.bʱi.bʱəd͡ʑ/,अभि-भज्,0
205187,,अभिभर्त्स्,v,v----d--0- v----a--0- v----a--1-,,,,/ə.bʱi.bʱəɹt̪s/,अभि-भर्त्स्,0
205188,22408,अभिभर्तृ,r,rp--------,,,,/ə.bʱi.ˈbʱəɹ.t̪ɹ̩/,अभि-भर्तृ,0
205192,22416,अभिभव,a,ap----a--a,,,,/ə.bʱi.bʱə.ʋə/,अभि-भव॔,0
205193,22417,अभिभव,n,n-----m--a,,,,/ə.bʱi.bʱə.ʋə/,अभि-भव॔,0
205194,22418,अभिभवन,n,n-----n--a,,,,/ə.bʱi.bʱə.ʋə.nə/,अभि-भवन,0
205195,,अभिभवनीय,a,ap----a--a,,,,/ə.bʱi.bʱə.ʋə.niː.jə/,अभि-भवनीय,0
205196,,अभिभञ्ज्,v,v----a--0-,,,,/ə.bʱi.bʱəɲd͡ʑ/,अभि-भञ्ज्,0
205197,219422,अभिभङ्ग,a,ap----a--a,,,,/ə.bʱi.bʱəŋ.gə/,अभि-भङ्ग॔,0
205198,,अभिभु,n,n-----m--u,,,,/ə.bʱi.bʱu/,अभि-भु॔,0
205199,199888,अभिभु,a,ap----a--u,,,,/ə.bʱi.bʱu/,अभि-भु॔,0
205200,,अभिभुज्,v,v----a--7- v----d--7- v----a--6- v----d--6-,,,,/ə.bʱi.bʱud͡ʑ/,अभि-भुज्,0
205201,158870,अभिभा,v,v----a--2-,,,,/ə.bʱi.bʱɑː/,अभि-भा,0
205202,22409,अभिभा,n,n-----f--ā,,,,/ə.bʱi.bʱɑː/,अभि-भा॔,0
205203,22428,अभिभार,a,ap----a--a,,,,/ə.bʱi.bʱɑː.ɹə/,अभि॔-भार,0
205204,22420,अभिभावक,a,ap----a--a,,,,/ə.bʱi.bʱɑː.ʋə.kə/,अभि-भावक,0
205205,22421,अभिभावन,n,n-----n--a,,,,/ə.bʱi.bʱɑː.ʋə.nə/,अभि-भावन,0
205206,22422,अभिभाविन्,a,ap----a--n,,,,/ə.bʱi.bʱɑː.ʋin/,अभि-भाविन्,0
205207,,अभिभावुक,a,ap----a--a,,,,/ə.bʱi.bʱɑː.ʋu.kə/,अभि-भावुक,0
205208,22410,अभिभायतन,n,n-----n--a,,,,/ə.bʱi.bʱɑː.jə.t̪ə.nə/,अभिभायतन,0
205209,158871,अभिभाष्,v,v----d--1- v----a--1-,,,,/ə.bʱi.bʱɑːʂ/,अभि-भाष्,0
205210,22411,अभिभाषण,n,n-----n--a,,,,/ə.bʱi.bʱɑː.ʂə.ɳə/,अभि-भाषण,0
205211,22413,अभिभाषिन्,a,ap----a--n,,,,/ə.bʱi.bʱɑː.ʂin/,अभि-भाषिन्,0
205212,,अभिभाषित,a,ap----a--a,,,,/ə.bʱi.bʱɑː.ʂi.t̪ə/,अभि-भाषित,0
205213,,अभिभाषित,n,n-----n--a,,,,/ə.bʱi.bʱɑː.ʂi.t̪ə/,अभि-भाषित,0
205214,22414,अभिभाष्य,a,ap----a--a,,,,/ə.bʱi.bʱɑːʂ.jə/,अभि-भाष्य,0
205215,,अभिभाष्यमाण,a,ap----a--a,,,,/ə.bʱi.bʱɑːʂ.jə.mɑː.ɳə/,अभि-भाष्यमाण,0
205217,,अभिभू,v,v----a--1- v----d--1-,,,,/ə.bʱi.bʱuː/,अभि-भू,0
205218,221126,अभिभू,a,ap----a--ū,,,,/ə.bʱi.bʱuː/,अभि-भू॔,0
205219,,अभिभूत,a,ap----a--a,,,,/ə.bʱi.bʱuː.t̪ə/,अभि-भूत,0
205220,22424,अभिभूति,n,n-----f--i,,,,/ə.bʱi.bʱuː.t̪i/,अभि॔-भूति,0
205221,22425,अभिभूति,a,ap----a--i,,,,/ə.bʱi.bʱuː.t̪i/,अभि॔-भूति,0
205222,,अभिभूत्योजस्,a,ap----a-sa,,,,/ə.bʱi.bʱuːt̪.joː.d͡ʑəs/,अभिभूत्य्-ओ॔जस्,0
205223,219225,अभिभूवन्,a,ap----a--n,,ap----f--ī=>वरी,,/ə.bʱi.bʱuː.ʋən/,अभि-भू॔वन्,0
205224,22427,अभिभूय,n,n-----n--a,,,,/ə.bʱi.bʱuː.jə/,अभि-भू॔य,0
205225,,अभिभूष्,v,v----a--1- v----d--1-,,,,/ə.bʱi.bʱuːʂ/,अभि-भूष्,0
205226,,अभिभृ,v,v----a--1- v----d--1- v----a--3- v----d--3- v----a--2- v----d--2-,,,,/ə.bʱi.bʱɹ̩/,अभि-भृ,0
205227,,अभिब्रू,v,v----a----,,,,/ə.ˈbʱib.ɹuː/,अभिब्रू,0
205228,22406,अभिबुद्धि,n,n-----f--i,,,,/ə.bʱi.ˈbud̪.d̪ʰi/,अभि-बुद्धि,0
205229,,अभिबाध्,v,v----d--1- v----a--1-,,,,/ə.bʱi.bɑːd̪ʰ/,अभि-बाध्,0
205230,22405,अभिबाधितृ,a,ap----a--r,,,,/ə.bʱi.bɑː.d̪ʰi.t̪ɹ̩/,अभि-बाधितृ,0
205231,22170,अभिचैद्यम्,r,rp--------,,,,/ə.bʱi.t͡ɕɑːi.d̪jəm/,अभि-चैद्यम्,0
205232,,अभिचक्ष्,v,v----d--2- v----a--2-,,,,/ə.bʱi.t͡ɕəkʂ/,अभि-चक्ष्,0
205233,22154,अभिचक्षण,n,n-----n--a,,,,/ə.bʱi.ˈt͡ɕək.ʂə.ɳə/,अभि-च॔क्षण,0
205234,22155,अभिचक्षणा,n,n-----f--ā,,,,/ə.bʱi.ˈt͡ɕək.ʂə.ɳɑː/,अभि-च॔क्षणा,0
205235,22156,अभिचक्ष्य,a,ap----a--a,,,,/ə.bʱi.ˈt͡ɕək.ʂjə/,अभि-च॔क्ष्य,0
205236,158610,अभिचर्,v,v----d--1- v----a--1-,,,,/ə.bʱi.t͡ɕəɹ/,अभि-चर्,0
205237,22157,अभिचर,n,n-----m--a,,,,/ə.bʱi.t͡ɕə.ɹə/,अभि-चर,0
205238,,अभिचरण,n,n-----n--a,,,,/ə.bʱi.t͡ɕə.ɹə.ɳə/,अभि-चरण,0
205239,,अभिचरणीय,a,ap----a--a,,,,/ə.bʱi.t͡ɕə.ɹə.ɳiː.jə/,अभि-चरणी॔य,0
205240,,अभिचरित,n,n-----n--a,,,,/ə.bʱi.t͡ɕə.ɹi.t̪ə/,अभि-चरित,0
205241,158616,अभिच्छद्,v,v----a--1-,,,,/ə.ˈbʱit͡ɕ.t͡ɕʰəd̪/,अभि-च्छद्,0
205242,22171,अभिच्छायम्,r,rp--------,,,,/ə.ˈbʱit͡ɕ.t͡ɕʰɑː.jəm/,अभि-च्छाय॔म्,0
205243,,अभिच्छाया,n,n-----f--ā,,,,/ə.ˈbʱit͡ɕ.t͡ɕʰɑː.jɑː/,अभि-च्छाया,0
205244,,अभिचेष्टा,n,n-----f--ā,,,,/ə.bʱi.t͡ɕeːʂ.ʈɑː/,अभि-चेष्टा,0
205246,,अभिचिन्त्,v,v----a--0- v----a--1-,,,,/ə.bʱi.t͡ɕint̪/,अभि-चिन्त्,0
205247,,अभिचुद्,v,v----d--1-,,,,/ə.bʱi.t͡ɕud̪/,अभि-चुद्,0
205248,22159,अभिचार,n,n-----m--a,,,,/ə.bʱi.t͡ɕɑː.ɹə/,अभि-चार॔,0
205249,22164,अभिचारहोम,n,n-----m--a,,,,/ə.bʱi.t͡ɕɑː.ɹə.ɦoːmə/,अभि-चार॔-होम,0
205250,22161,अभिचारज्वर,n,n-----m--a,,,,/ə.bʱi.t͡ɕɑː.ˈɹəd͡ʑ.ʋə.ɹə/,अभि-चार॔-ज्वर,0
205251,22165,अभिचारक,a,ap----a--a,,ap----f--ā=>िका,,/ə.bʱi.t͡ɕɑː.ɹə.kə/,अभि-चारक,0
205252,22160,अभिचारकल्प,n,n-----m--a,,,,/ə.bʱi.t͡ɕɑː.ɹə.ˈkəl.pə/,अभि-चार॔-कल्प,0
205253,22162,अभिचारमन्त्र,n,n-----m--a,,,,/ə.bʱi.t͡ɕɑː.ɹə.mən.t̪ɹə/,अभि-चार॔-मन्त्र,0
205254,22163,अभिचारयज्ञ,n,n-----m--a,,,,/ə.bʱi.t͡ɕɑː.ɹə.ˈjəd͡ʑ.ɲə/,अभि-चार॔-यज्ञ,0
205255,22166,अभिचारणीय,a,ap----a--a,,,,/ə.bʱi.t͡ɕɑː.ɹə.ɳiː.jə/,अभि-चारणीय,0
205256,22168,अभिचारिन्,a,ap----a--n,,,,/ə.bʱi.t͡ɕɑː.ɹin/,अभि-चारि॔न्,0
205257,22167,अभिचारित,a,ap----a--a,,,,/ə.bʱi.t͡ɕɑː.ɹi.t̪ə/,अभि-चारित,0
205258,,अभिचार्य,a,ap----a--a,,,,/ə.bʱi.t͡ɕɑːɹ.jə/,अभि-चार्य,0
205259,,अभिदधत्,a,ap----a--c,,,,/ə.bʱi.d̪ə.d̪ʰət̪/,अभि-दधत्,0
205260,22210,अभिददि,n,n-----m--i,,,,/ə.bʱi.d̪ə.d̪i/,अभि-ददि॔,0
