,तावद्द्वयस,a,ap----a--a,,,,/t̪ɑː.ˈʋəd̪.d̪ʋə.jə.sə/,तावद्-द्वयस,0
379275,96992,ताडकेय,n,n-----m--a,,,,/t̪ɑː.ɖə.keː.jə/,ताडकेय,0
379277,96988,ताडका,n,n-----f--ā,,,,/t̪ɑː.ɖə.kɑː/,ताडका,0
379278,96990,ताडकाफल,n,n-----n--a,,,,/t̪ɑː.ɖə.kɑː.pʰə.lə/,ताडका-फल,0
379279,96991,ताडकायन,n,n-----m--a,,,,/t̪ɑː.ɖə.kɑː.jə.nə/,ताडकायन,0
379280,,ताडम्,r,rp--------,,,,/t̪ɑː.ɖəm/,ता॔डम्,0
379282,163230,ताडन,n,n-----n--a,,,,/t̪ɑː.ɖə.nə/,ताडन,0
379284,,ताडन,a,ap----a--a,,,,/t̪ɑː.ɖə.nə/,ताडन,0
379285,,ताडनी,n,n-----f--ī,,,,/t̪ɑː.ɖə.niː/,ताडनी,0
379286,,ताडनीय,a,ap----a--a,,,,/t̪ɑː.ɖə.niː.jə/,ताडनीय,0
379287,96985,ताडपत्त्र,n,n-----n--a,,,,/t̪ɑː.ɖə.ˈpət̪.t̪ɹə/,ता॔ड-पत्त्र,0
379288,96994,ताडयितृ,a,ap----a--r,,,,/t̪ɑː.ɖə.ji.t̪ɹ̩/,ताडयितृ,0
379289,,ताडङ्क,n,n-----m--a,,,,/t̪ɑː.ɖəŋ.kə/,ताडङ्क,0
379290,,ताडङ्कीकृ,v,v----a--8-,,,,/t̪ɑː.ɖəŋ.kiː.kɹ̩/,ताडङ्की-कृ,0
379291,96995,ताडि,n,n-----f--i,,,,/t̪ɑː.ɖi/,ताडि,0
379292,96989,ताडिका,n,n-----f--ā,,,,/t̪ɑː.ɖi.kɑː/,ताडिका,0
379293,,ताडित,a,ap----a--a,,,,/t̪ɑː.ɖi.t̪ə/,ताडित,0
379294,96999,ताडुल,a,ap----a--a,,,,/t̪ɑː.ɖu.lə/,ताडुल,0
379295,,ताड्य,a,ap----a--a,,,,/t̪ɑːɖ.jə/,ताड्य,0
379296,,ताड्य,n,n-----n--a,,,,/t̪ɑːɖ.jə/,ताड्य,0
379297,97002,ताडाग,a,ap----a--a,,,,/t̪ɑː.ɖɑː.gə/,ताडाग,0
379298,96986,ताडावचर,n,n-----n--a,,,,/t̪ɑː.ɖɑː.ʋə.t͡ɕə.ɹə/,ताडावचर,0
379299,96982,ताडी,n,n-----f--ī,,,,/t̪ɑː.ɖiː/,ता॔डी,0
379300,96982,ताडी,n,n-----f--ī,,,,/t̪ɑː.ɖiː/,ताडी,0
379302,96998,ताडीदल,n,n-----n--a,,,,/t̪ɑː.ɖiː.d̪ə.lə/,ताडी-दल,0
379303,,ताडीपुट,n,n-----n--a,,,,/t̪ɑː.ɖiː.pu.ʈə/,ताडी-पुट,0
379304,97003,ताण्ड,n,n-----m--a,,,,/t̪ɑːɳ.ɖə/,ताण्ड,0
379305,,ताण्ड,n,n-----n--a,,,,/t̪ɑːɳ.ɖə/,ताण्ड,0
379306,97005,ताण्डक,n,n-----n--a,,,,/t̪ɑːɳ.ɖə.kə/,ताण्डक,0
379307,97006,ताण्डव,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=ताण्डव",/t̪ɑːɳ.ɖə.ʋə/,ताण्डव,0
379308,97008,ताण्डवप्रिय,n,n-----m--a,,,,/t̪ɑːɳ.ɖə.ˈʋəp.ɹi.jə/,ताण्डव-प्रिय,0
379309,97007,ताण्डवतालिक,n,n-----m--a,,,,/t̪ɑːɳ.ɖə.ʋə.t̪ɑː.li.kə/,ताण्डव-तालिक,0
379310,97009,ताण्डवयितृ,a,ap----a--r,,ap----f--ī=>त्री,,/t̪ɑːɳ.ɖə.ʋə.ji.t̪ɹ̩/,ताण्डवयितृ,0
379311,97010,ताण्डविका,n,n-----f--ā,,,,/t̪ɑːɳ.ɖə.ʋi.kɑː/,ताण्डविका,0
379312,97011,ताण्डवित,a,ap----a--a,,,,/t̪ɑːɳ.ɖə.ʋi.t̪ə/,ताण्डवित,0
379313,97012,ताण्डि,n,n-----n--i,,,,/t̪ɑːɳ.ɖi/,ताण्डि,0
379314,97013,ताण्डिन्,n,n-----m--n,,,,/t̪ɑːɳ.ɖin/,ताण्डिन्,0
379315,,ताण्ड्य,n,n-----n--a,,,,/t̪ɑːɳ.ɖjə/,ता॔ण्ड्य,0
379316,97015,ताण्ड्य,n,n-----m--a,,,,/t̪ɑːɳ.ɖjə/,ता॔ण्ड्य,0
379317,97017,ताण्ड्यब्राह्मण,n,n-----n--a,,,,/t̪ɑːɳ.ˈɖjəb.ɹɑːɦ.mə.ɳə/,ता॔ण्ड्य-ब्राह्मण,0
379318,,ताण्ड्यायन,n,n-----m--a,,,,/t̪ɑːɳ.ɖjɑː.jə.nə/,ताण्ड्यायन,0
379319,96979,ताटस्थ्य,n,n-----n--a,,,,/t̪ɑː.ˈʈəs.t̪ʰjə/,ताटस्थ्य,0
379320,,ताटङ्क,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=ताटङ्क",/t̪ɑː.ʈəŋ.kə/,ताटङ्क,0
379321,96978,ताटङ्किन्,a,ap----a--n,,,,/t̪ɑː.ʈəŋ.kin/,ताटङ्किन्,0
379322,,तीक्,v,v----d--1-,,,,/t̪iːk/,तीक्,0
379327,82526,तीक्ष्ण,n,n-----m--a,,,,/t̪iːkʂ.ɳə/,तीक्ष्ण॔,0
379336,82524,तीक्ष्ण,a,ap----a--a,,ap----f--ā=>ा,,/t̪iːkʂ.ɳə/,तीक्ष्ण॔,0
379349,82527,तीक्ष्ण,n,n-----n--a,,,,/t̪iːkʂ.ɳə/,तीक्ष्ण॔,0
379352,,तीक्ष्णबुद्धि,a,ap----a--i,,,,/t̪iːkʂ.ɳə.ˈbud̪.d̪ʰi/,तीक्ष्ण॔-बुद्धि,0
379353,,तीक्ष्णदंष्ट्र,a,ap----a--a,,,,/t̪iːkʂ.ɳə.ˈd̪ə̃ʂʈɹə/,तीक्ष्ण॔-दंष्ट्र॔,0
379355,174681,तीक्ष्णदंष्ट्र,n,n-----m--a,,,,/t̪iːkʂ.ɳə.ˈd̪ə̃ʂʈɹə/,तीक्ष्ण॔-दंष्ट्र॔,0
379356,82547,तीक्ष्णदंष्ट्रक,n,n-----m--a,,,,/t̪iːkʂ.ɳə.ˈd̪ə̃ʂʈɹə.kə/,तीक्ष्ण॔-दंष्ट्रक,0
379357,,तीक्ष्णदंष्ट्रता,n,n-----f--ā,,,,/t̪iːkʂ.ɳə.ˈd̪ə̃ʂʈɹə.t̪ɑː/,तीक्ष्ण-दंष्ट्रता,0
379358,,तीक्ष्णदण्ड,a,ap----a--a,,,,/t̪iːkʂ.ɳə.ˈd̪əɳ.ɖə/,तीक्ष्ण॔-दण्ड,0
379359,82550,तीक्ष्णधार,n,n-----m--a,,,,/t̪iːkʂ.ɳə.d̪ʰɑː.ɹə/,तीक्ष्ण॔-धार,0
379360,,तीक्ष्णधार,a,ap----a--a,,,,/t̪iːkʂ.ɳə.d̪ʰɑː.ɹə/,तीक्ष्ण॔-धार,0
379361,82551,तीक्ष्णधारक,n,n-----m--a,,,,/t̪iːkʂ.ɳə.d̪ʰɑː.ɹə.kə/,तीक्ष्ण॔-धारक,0
379362,82537,तीक्ष्णगन्ध,n,n-----m--a,,,,/t̪iːkʂ.ɳə.gən.d̪ʰə/,तीक्ष्ण॔-गन्ध,0
379363,82539,तीक्ष्णगन्धक,n,n-----m--a,,,,/t̪iːkʂ.ɳə.gən.d̪ʰə.kə/,तीक्ष्ण॔-गन्धक,0
379364,82538,तीक्ष्णगन्धा,n,n-----f--ā,,,,/t̪iːkʂ.ɳə.gən.d̪ʰɑː/,तीक्ष्ण॔-गन्धा,0
379366,,तीक्ष्णहृदयत्व,n,n-----n--a,,,,/t̪iːkʂ.ɳə.ɦɹ̩.d̪ə.ˈjət̪.ʋə/,तीक्ष्ण॔-हृदय-त्व,0
379367,82592,तीक्ष्णक,n,n-----m--a,,,,/t̪iːkʂ.ɳə.kə/,तीक्ष्णक,0
379368,82535,तीक्ष्णकल्क,n,n-----m--a,,,,/t̪iːkʂ.ɳə.ˈkəl.kə/,तीक्ष्ण॔-कल्क,0
379369,82531,तीक्ष्णकन्द,n,n-----m--a,,,,/t̪iːkʂ.ɳə.kən.d̪ə/,तीक्ष्ण॔-कन्द,0
379370,82532,तीक्ष्णकर,n,n-----m--a,,,,/t̪iːkʂ.ɳə.kə.ɹə/,तीक्ष्ण॔-कर,0
379371,,तीक्ष्णकर्मकृत्,a,ap----a--c,,,,/t̪iːkʂ.ɳə.ˈkəɹ.mə.kɹ̩t̪/,तीक्ष्ण॔-कर्म-कृत्,0
379372,,तीक्ष्णकर्मन्,n,n-----n--n,,,,/t̪iːkʂ.ɳə.ˈkəɹ.mən/,तीक्ष्ण॔-कर्मन्,0
379449,82610,तीरण,n,n-----m--a,,,,/t̪iː.ɹə.ɳə/,तीरण,0
379373,82534,तीक्ष्णकर्मन्,n,n-----m--n,,,,/t̪iːkʂ.ɳə.ˈkəɹ.mən/,तीक्ष्ण॔-कर्मन्,0
379374,82528,तीक्ष्णकण्ट,n,n-----m--a,,,,/t̪iːkʂ.ɳə.ˈkəɳ.ʈə/,तीक्ष्ण॔-कण्ट,0
379375,82529,तीक्ष्णकण्टक,n,n-----m--a,,,,/t̪iːkʂ.ɳə.ˈkəɳ.ʈə.kə/,तीक्ष्ण॔-कण्टक,0
379376,82530,तीक्ष्णकण्टका,n,n-----f--ā,,,,/t̪iːkʂ.ɳə.ˈkəɳ.ʈə.kɑː/,तीक्ष्ण॔-कण्टका,0
379377,82536,तीक्ष्णकान्ता,n,n-----f--ā,,,,/t̪iːkʂ.ɳə.kɑːn.t̪ɑː/,तीक्ष्ण॔-कान्ता,0
379378,,तीक्ष्णलवण,a,ap----a--a,,,,/t̪iːkʂ.ɳə.lə.ʋə.ɳə/,तीक्ष्ण॔-लवण,0
379379,82566,तीक्ष्णलोह,n,n-----n--a,,,,/t̪iːkʂ.ɳə.loː.ɦə/,तीक्ष्ण॔-लोह,0
379380,82559,तीक्ष्णमञ्जरी,n,n-----f--ī,,,,/t̪iːkʂ.ɳə.məɲ.d͡ʑə.ɹiː/,तीक्ष्ण॔-मञ्जरी,0
379381,82560,तीक्ष्णमार्ग,n,n-----m--a,,,,/t̪iːkʂ.ɳə.mɑːɹ.gə/,तीक्ष्ण॔-मार्ग,0
379382,82561,तीक्ष्णमूल,n,n-----m--a,,,,/t̪iːkʂ.ɳə.muː.lə/,तीक्ष्ण॔-मूल,0
379383,,तीक्ष्णनासिक,a,ap----a--a,,,,/t̪iːkʂ.ɳə.nɑː.si.kə/,तीक्ष्ण॔-नासिक,0
379384,82553,तीक्ष्णपत्त्र,n,n-----m--a,,,,/t̪iːkʂ.ɳə.ˈpət̪.t̪ɹə/,तीक्ष्ण॔-पत्त्र,0
379385,82557,तीक्ष्णफल,n,n-----m--a,,,,/t̪iːkʂ.ɳə.pʰə.lə/,तीक्ष्ण॔-फल,0
379386,,तीक्ष्णप्रिय,n,n-----m--a,,,,/t̪iːkʂ.ˈɳəp.ɹi.jə/,तीक्ष्ण॔-प्रिय,0
379387,82554,तीक्ष्णपुष्प,n,n-----n--a,,,,/t̪iːkʂ.ɳə.ˈpuʂ.pə/,तीक्ष्ण॔-पुष्प,0
379388,82555,तीक्ष्णपुष्पा,n,n-----f--ā,,,,/t̪iːkʂ.ɳə.ˈpuʂ.pɑː/,तीक्ष्ण॔-पुष्पा,0
379390,82563,तीक्ष्णरस,n,n-----m--a,,,,/t̪iːkʂ.ɳə.ɹə.sə/,तीक्ष्ण॔-रस,0
379391,,तीक्ष्णरसदायिन्,n,n-----m--n,,,,/t̪iːkʂ.ɳə.ɹə.sə.d̪ɑː.jin/,तीक्ष्ण॔-रस-दायिन्,0
379392,,तीक्ष्णरश्मि,a,ap----a--i,,,,/t̪iːkʂɳəɹəɕmi/,तीक्ष्ण॔-रश्मि,0
379393,,तीक्ष्णरूपिन्,a,ap----a--n,,,,/t̪iːkʂ.ɳə.ɹuː.pin/,तीक्ष्ण॔-रूपिन्,0
379394,,तीक्ष्णस्रोतस्,a,ap----a-sa,,,,/t̪iːkʂ.ˈɳəs.ɹoː.t̪əs/,तीक्ष्ण॔-स्रोतस्,0
379395,82579,तीक्ष्णसार,n,n-----n--a,,,,/t̪iːkʂ.ɳə.sɑː.ɹə/,तीक्ष्ण॔-सार,0
379396,82578,तीक्ष्णसार,n,n-----m--a,,,,/t̪iːkʂ.ɳə.sɑː.ɹə/,तीक्ष्ण॔-सार,0
379397,82580,तीक्ष्णसारा,n,n-----f--ā,,,,/t̪iːkʂ.ɳə.sɑː.ɹɑː/,तीक्ष्ण॔-सारा,0
379398,82544,तीक्ष्णतैल,n,n-----n--a,,,,/t̪iːkʂ.ɳə.t̪ɑːi.lə/,तीक्ष्ण॔-तैल,0
379399,82541,तीक्ष्णतर,a,ap----a--a,,,,/t̪iːkʂ.ɳə.t̪ə.ɹə/,तीक्ष्ण॔-तर,0
379400,82540,तीक्ष्णतण्डुला,n,n-----f--ā,,,,/t̪iːkʂ.ɳə.ˈt̪əɳ.ɖu.lɑː/,तीक्ष्ण॔-तण्डुला,0
379401,,तीक्ष्णतुण्ड,a,ap----a--a,,ap----f--ā=>ा,,/t̪iːkʂ.ɳə.ˈt̪uɳ.ɖə/,तीक्ष्ण॔-तुण्ड,0
379402,,तीक्ष्णत्व,n,n-----n--a,,,,/t̪iːkʂ.ˈɳət̪.ʋə/,तीक्ष्ण॔-त्व,0
379403,,तीक्ष्णता,n,n-----f--ā,,,,/t̪iːkʂ.ɳə.t̪ɑː/,तीक्ष्ण॔-ता,0
379404,,तीक्ष्णवक्त्र,a,ap----a--a,,,,/t̪iːkʂ.ɳə.ˈʋək.t̪ɹə/,तीक्ष्ण॔-वक्त्र,0
379405,,तीक्ष्णवर्मन्,a,ap----a--n,,,,/t̪iːkʂ.ɳə.ˈʋəɹ.mən/,तीक्ष्ण॔-वर्मन्,0
379406,82573,तीक्ष्णवेग,n,n-----m--a,,,,/t̪iːkʂ.ɳə.ʋeː.gə/,तीक्ष्ण॔-वेग,0
379407,,तीक्ष्णविपाक,a,ap----a--a,,,,/t̪iːkʂ.ɳə.ʋi.pɑː.kə/,तीक्ष्ण॔-विपाक,0
379408,,तीक्ष्णविष,n,n-----m--a,,,,/t̪iːkʂ.ɳə.ʋi.ʂə/,तीक्ष्ण॔-विष,0
379409,,तीक्ष्णविष,a,ap----a--a,,,,/t̪iːkʂ.ɳə.ʋi.ʂə/,तीक्ष्ण॔-विष,0
379410,82572,तीक्ष्णवृषण,n,n-----m--a,,,,/t̪iːkʂ.ɳə.ʋɹ̩.ʂə.ɳə/,तीक्ष्ण॔-वृषण,0
379411,82574,तीक्ष्णशस्त्र,n,n-----n--a,,,,/t̪iːkʂ.ɳə.ˈɕəs.t̪ɹə/,तीक्ष्ण॔-शस्त्र,0
379412,,तीक्ष्णशिग्रु,n,n-----m--u,,,,/t̪iːkʂ.ɳə.ˈɕig.ɹu/,तीक्ष्ण॔-शिग्रु,0
379413,82576,तीक्ष्णशूक,n,n-----m--a,,,,/t̪iːkʂ.ɳə.ɕuː.kə/,तीक्ष्ण॔-शूक,0
379414,,तीक्ष्णशृङ्ग,a,ap----a--a,,,,/t̪iːkʂ.ɳə.ɕɹ̩ŋ.gə/,तीक्ष्ण॔-शृङ्ग,0
379415,220705,तीक्ष्णशृङ्गी,n,n-----f--ī,,,,/t̪iːkʂ.ɳə.ɕɹ̩ŋ.giː/,तीक्ष्ण॔-शृङ्गी॔,0
379416,,तीक्ष्णेषु,a,ap----a--u,,,,/t̪iːkʂ.ɳeː.ʂu/,तीक्ष्णे॔षु,0
379417,82591,तीक्ष्णोपाय,n,n-----m--a,,,,/t̪iːkʂ.ɳoː.pɑː.jə/,तीक्ष्णोपाय,0
379418,82525,तीक्ष्णा,n,n-----f--ā,,,,/t̪iːkʂ.ɳɑː/,तीक्ष्णा॔,0
379421,82585,तीक्ष्णाग्नि,n,n-----m--i,,,,/t̪iːkʂ.ɳɑːg.ni/,तीक्ष्णाग्नि,0
379422,,तीक्ष्णाग्र,a,ap----a--a,,,,/t̪iːkʂ.ɳɑːg.ɹə/,तीक्ष्णाग्र,0
379423,,तीक्ष्णाग्र,n,n-----m--a,,,,/t̪iːkʂ.ɳɑːg.ɹə/,तीक्ष्णाग्र,0
379424,,तीक्ष्णाम्ल,a,ap----a--a,,,,/t̪iːkʂ.ɳɑːm.lə/,तीक्ष्-णाम्ल,0
379425,,तीक्ष्णार्चिस्,a,ap----a-si,,,,/t̪iːkʂ.ɳɑːɹ.t͡ɕis/,तीक्ष्णार्चिस्,0
379426,,तीक्ष्णायस,n,n-----n--a,,,,/t̪iːkʂ.ɳɑː.jə.sə/,तीक्ष्णायस,0
379428,82584,तीक्ष्णांशु,n,n-----m--u,,,,/t̪iːkʂ.ɳɑː.̃ɕu/,तीक्ष्णांशु,0
379429,,तीक्ष्णांशु,a,ap----a--u,,,,/t̪iːkʂ.ɳɑː.̃ɕu/,तीक्ष्णांशु,0
379430,,तीक्ष्णांशुदेहप्रभव,n,n-----m--a,,,,/t̪iːkʂ.ɳɑː.̃ɕu.d̪eː.ˈɦəp.ɹə.bʱə.ʋə/,तीक्ष्णांशु-देह-प्रभव,0
379431,,तीक्ष्णांशुतनय,n,n-----m--a,,,,/t̪iːkʂ.ɳɑː.̃ɕu.t̪ə.nə.jə/,तीक्ष्णांशु-तनय,0
379432,82593,तीक्ष्णीयस्,a,ap----a-sa,,,,/t̪iːkʂ.ɳiː.jəs/,ती॔क्ष्णीयस्,0
379433,,तीम्,v,v----a--4-,,,,/t̪iːm/,तीम्,0
379434,82594,तीमन,n,n-----n--a,,,,/t̪iː.mə.nə/,तीमन,0
379435,,तीर,a,ap----a--a,,ap----f--ā=>ा,,/t̪iː.ɹə/,तीर,0
379436,82598,तीर,n,n-----n--a,,,,/t̪iː.ɹə/,तीर,0
379437,82595,तीर,n,n-----m--a,,,,/t̪iː.ɹə/,तीर,0
379438,82603,तीरभुक्ति,n,n-----m--i,,,,/t̪iː.ɹə.ˈbʱuk.t̪i/,तीर-भुक्ति,0
379439,82604,तीरभुक्तीय,a,ap----a--a,,,,/t̪iː.ɹə.ˈbʱuk.t̪iː.jə/,तीर-भुक्तीय,0
379440,,तीरभाज्,a,ap----a--c,,,,/t̪iː.ɹə.bʱɑːd͡ʑ/,तीर-भाज्,0
379441,82599,तीरग्रह,n,n-----m--a,,,,/t̪iː.ˈɹəg.ɹə.ɦə/,तीर-ग्रह,0
379442,,तीरज,a,ap----a--a,,,,/t̪iː.ɹə.d͡ʑə/,तीर-ज,0
379443,82601,तीरज,n,n-----m--a,,,,/t̪iː.ɹə.d͡ʑə/,तीर-ज,0
379444,,तीररुह,a,ap----a--a,,,,/t̪iː.ɹə.ɹu.ɦə/,तीर-रुह,0
379445,82606,तीररुह,n,n-----m--a,,,,/t̪iː.ɹə.ɹu.ɦə/,तीर-रुह,0
379446,,तीरस्थ,a,ap----a--a,,,,/t̪iː.ˈɹəs.t̪ʰə/,तीर-स्थ,0
379447,,तीरविलग्न,a,ap----a--a,,,,/t̪iː.ɹə.ʋi.ˈləg.nə/,तीर-विलग्न,0
379450,82597,तीरिका,n,n-----f--ā,,,,/t̪iː.ɹi.kɑː/,तीरिका,0
379451,82611,तीरित,a,ap----a--a,,,,/t̪iː.ɹi.t̪ə/,तीरित,0
379452,82616,तीर्थ,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=तीर्थ",/t̪iːɹ.t̪ʰə/,तीर्थ॔,0
379453,,तीर्थभूत,a,ap----a--a,,,,/t̪iːɹ.t̪ʰə.bʱuː.t̪ə/,तीर्थ॔-भूत,0
379454,82626,तीर्थचर्या,n,n-----f--ā,,,,/t̪iːɹ.t̪ʰə.ˈt͡ɕəɹ.jɑː/,तीर्थ॔-चर्या,0
379455,82627,तीर्थचिन्तामणि,n,n-----m--i,,,,/t̪iːɹ.t̪ʰə.t͡ɕin.t̪ɑː.mə.ɳi/,तीर्थ॔-चिन्तामणि,0
379456,82629,तीर्थदेव,n,n-----m--a,,,,/t̪iːɹ.t̪ʰə.d̪eː.ʋə/,तीर्थ॔-देव,0
379457,,तीर्थदेवमय,a,ap----a--a,,ap----f--ī=>ी,,/t̪iːɹ.t̪ʰə.d̪eː.ʋə.mə.jə/,तीर्थ॔-देव-मय,0
379458,,तीर्थध्वाङ्क्ष,n,n-----m--a,,,,/t̪iːɹ.ˈt̪ʰəd̪ʰ.ʋɑːŋk.ʂə/,तीर्थ॔-ध्वाङ्क्ष,0
379459,82624,तीर्थगोपाल,n,n-----n--a,,,,/t̪iːɹ.t̪ʰə.goː.pɑː.lə/,तीर्थ॔-गोपाल,0
379460,82662,तीर्थक,n,n-----m--a,,,,/t̪iːɹ.t̪ʰə.kə/,तीर्थक,0
379461,82663,तीर्थक,n,n-----n--a,,,,/t̪iːɹ.t̪ʰə.kə/,तीर्थक,0
379462,,तीर्थक,a,ap----a--a,,,,/t̪iːɹ.t̪ʰə.kə/,तीर्थक,0
379464,82617,तीर्थकमण्डलु,n,n-----m--u,,,,/t̪iːɹ.t̪ʰə.kə.ˈməɳ.ɖə.lu/,तीर्थ॔-कमण्डलु,0
379465,82618,तीर्थकर,a,ap----a--a,,,,/t̪iːɹ.t̪ʰə.kə.ɹə/,तीर्थ॔-कर,0
379466,82619,तीर्थकर,n,n-----m--a,,,,/t̪iːɹ.t̪ʰə.kə.ɹə/,तीर्थ॔-कर,0
379469,82620,तीर्थकाक,n,n-----m--a,,,,/t̪iːɹ.t̪ʰə.kɑː.kə/,तीर्थ॔-काक,0
379470,82621,तीर्थकाशिका,n,n-----f--ā,,,,/t̪iːɹ.t̪ʰə.kɑː.ɕi.kɑː/,तीर्थ॔-काशिका,0
379471,,तीर्थकीर्ति,a,ap----a--i,,,,/t̪iːɹ.t̪ʰə.kiːɹ.t̪i/,तीर्थ॔-कीर्ति,0
379472,82623,तीर्थकृत्,n,n-----m--c,,,,/t̪iːɹ.t̪ʰə.kɹ̩t̪/,तीर्थ॔-कृत्,0
