id,offset,pos,language,gloss,semfield
104215,00157979,n,10,cooking slowly in fat in a closed pot with little moisture,1957
104216,00158092,n,10,cooking in simmering water,1957
104217,00158173,n,10,cooking (meat) by dry heat in an oven (usually with fat added),1957
104218,00158327,n,10,roasting a large piece of meat on a revolving spit out of doors over an open fire,1957
104219,00158465,n,10,cooking in a boiling liquid,1957
104220,00158586,n,10,moistening a roast as it is cooking,1957
104221,00158694,n,10,the act of making meat tender by pounding or marinating it,1957
104222,00158831,n,10,the act of adding a seasoning to food,1957
104223,00158979,n,10,the act of adding salt to food,1957
104224,00159063,n,10,the act of adding a sweetener to food,1957
104225,00159157,n,10,"the act of improving something: ""Their improvements increased the value of the property""",
104226,00159609,n,10,"gradual improvement or growth or development: ""advancement of knowledge""; ""great progress in the arts""; ""their research and development gave them an advantagte""",
104227,00159874,n,10,"the advancement of some enterprise: ""his experience in marketing resulted in the forwarding of his career""",1794
104228,00160063,n,10,"significant progress (especially in the phrase ""make strides"" or ""make rapid strides"")",
104229,00160202,n,10,"act of improving by expanding or enlarging or refining: ""he congratulated them on their development of a plan to meet the emergency""; ""they funded research and development""",
104230,00160486,n,10,"the action of making broader: ""the broadening of travel""",
104231,00160599,n,10,developing in intricate and painstaking detail,
104232,00160717,n,10,"the act of making something clean: ""he gave his shoes a good cleaning""",
104233,00161044,n,10,the activity of getting rid of vermin,
104234,00161142,n,10,the activity of cleaning a house thoroughly at the end of winter,
104235,00161268,n,10,the act of cleaning a surface by rubbing it with a brush and soap and water,
104236,00161436,n,10,cleaning with a mop,
104237,00161520,n,10,the act of cleaning (fabrics) with a solvent other than water,2401
104238,00161640,n,10,the act of cleaning with a broom,
104239,00161727,n,10,an act of removing by cleansing; ridding of sediment or other other undesired elements,
104240,00161941,n,10,the act of clearing yourself (or another) from some stigma or charge,
104241,00162101,n,10,"the act of purging of sin or guilt: ""purification through repentance""",1565
104242,00162229,n,10,cleaning by getting rid of impurities,
104243,00162325,n,10,(psychoanalysis) purging of emotional tensions,1874
104244,00162452,n,10,purging the body by the use of a cathartic to stimulate evacuation of the bowels,
104245,00162600,n,10,irrigation of the colon for cleansing purposes by injecting large amounts of fluid high into the colon,
104246,00162792,n,10,the procedure of making some object free of live bacteria of other microorganisms (usually by heat or chemical means),
104247,00163002,n,10,partial sterilization of foods at a temperature that destroys harmful microorganisms without major changes in the chemistry of the food,
104248,00163198,n,10,making something sanitary (free of germs) as by sterilizing,
104249,00163357,n,10,the act of removing hair with a razor,
104250,00163474,n,10,shaving the crown of the head by priests or members of a monastic order,
104251,00163599,n,10,the act of washing yourself (or another person),
104252,00163792,n,10,the act of washing dishes,2353
104253,00163875,n,10,the work of washing or cleansing,
104254,00164113,n,10,the washing of dishes etc after a meal,2353
104255,00164208,n,10,the activity of washing windows,2353
104256,00164300,n,10,washing lightly without soap,
104257,00164380,n,10,the act of giving a light tint to the hair,2371
104258,00164474,n,10,the removal of soap with clean water in the final stage of washing,
104259,00164621,n,10,washing something by allowing it to soak,2353
104260,00164722,n,10,"the act of brushing your hair: ""he gave his hair a quick brush""",2371
104261,00164848,n,10,"the act of drawing a comb through hair: ""his hair needed a comb""",
104262,00164991,n,10,the act of removing tangles from you hair with a comb,
104263,00165109,n,10,the act of washing your hair with shampoo,
104264,00165204,n,10,care for the hair: the activity of washing or cutting or curling or arranging the hair,
104265,00165415,n,10,"washing yourself in a shower; you stand upright under water sprayed from a nozzle: ""he took a shower after the game""",
104266,00165598,n,10,"you soak your body in a bathtub: ""he has a good bath every morning""",
104267,00165752,n,10,a bath in which you add something to foam and scent the bath water,
104268,00165876,n,10,a bath in warm mud (as for treating rheumatism),
104269,00165978,n,10,you wash your body with a sponge or washcloth instead of in a bathtub,
104270,00166105,n,10,you sweat in a steam room before getting a rubdown and cold shower,
104271,00166270,n,10,the act of rubbing down,
104272,00166347,n,10,the act of offering an improvement to replace a mistake,
104273,00166578,n,10,act of correcting an error or a fault or an evil,
104274,00166721,n,10,"anything that remedies or heals or soothes: ""he needed a salve for his conscience""",
104275,00166855,n,10,the act of correcting for your wrongdoing,
104276,00166954,n,10,the act of compensating for loss or injury,
104277,00167086,n,10,the act of making something perfect,
104278,00167178,n,10,"a change for the better as a result of correcting abuses: ""justice was for sale before the reform of the law courts""",
104279,00167365,n,10,a redistribution of agricultural land (especially by government action),
104280,00167494,n,10,the act of relieving ills and changing for the better,
104281,00167633,n,10,the act of improving yourself,
104282,00167762,n,10,"self-improvement in behavior or morals by abandoning some vice; ""the family rejoiced in the drunkard's reform""",
104283,00167925,n,10,the act of making something more beautiful,
104284,00168046,n,10,the act of glamorizing; making something or someone more beautiful (often in a superficial way),
104285,00168201,n,10,the act of decorating something (in the hope of making it more attractive),
104286,00168476,n,10,the action of decorating yourself with something colorful and interesting,
104287,00168605,n,10,the act of adding extraneous decorations to something,2446
104288,00168734,n,10,the decoration of shop windows,2872
104289,00168826,n,10,"the act of adding decoration: ""the children had to be in bed before it was time for the trimming of the tree""",
104290,00168990,n,10,adorning with mosaic,
104291,00169069,n,10,decorating with a design,
104292,00169150,n,10,the practice of making a design on the skin by pricking and staining,
104293,00169271,n,10,the act of making a visible mark on a surface,
104294,00169424,n,10,the act of marking or outlining with lines,
104295,00169522,n,10,the act of coloring with areas of different shades,
104296,00169627,n,10,the act of marking with stripes,
104297,00169713,n,10,the act of removing solid particles from a liquid,
104298,00169833,n,10,act of making fuller or more meaningful or rewarding,
104299,00169960,n,10,the act of making more humane,
104300,00170063,n,10,"making modern in appearance of behavior: ""the modernizing of Nigeria will be a long process""",
104301,00170245,n,10,the act of renovating,
104302,00170357,n,10,a renovation that improves the outward appearance (as of a building),
104303,00170496,n,10,an improvement that makes something more agreeable,
104304,00170617,n,10,an upward movement or trend as in business activity,
104305,00170721,n,10,changing something with the result that it becomes worse,
104306,00170851,n,10,"a worsening of business or economic activity: ""the market took a downturn""",
104307,00171010,n,10,a swift and dangerous downturn,
104308,00171095,n,10,the act of supplying fresh air and getting rid of foul air,1707
104309,00171220,n,10,the act of putting something in working order again,
104310,00171488,n,10,the act of mending a hole in a garment with crossing threads,
104311,00171602,n,10,the act of mending a hole in a garment by sewing a patch over it,
104312,00171721,n,10,"activity involved in maintaining something in good working order: ""he wrote the manual on car care""",
104313,00171984,n,10,keeping a camera in good working order,
104314,00172080,n,10,keeping a car in good working order,
104315,00172188,n,10,replacing dirty oil with clean,
104316,00172275,n,10,"periodic maintenance on a car or machine: ""it was time for an overhaul on the tractor""",1946
104317,00172482,n,10,an overhaul between the regular times for overhauling,1946
104318,00172598,n,10,hurried repair,
104319,00172698,n,10,the act of restoring something or someone to a satisfactory state,
104569,00207854,n,10,the act of enclosing something inside something else,
104320,00172893,n,10,the conversion of waste land into land suitable for use of habitation or cultivation,
104321,00173090,n,10,the activity of constructing something again,1794
104322,00173231,n,10,assembling again,
104323,00173345,n,10,building again,
104324,00173416,n,10,the act of restoring something to its original state,
104325,00173526,n,10,introducing water into a pump to improve the seal and start the water flowing,
104326,00173662,n,10,maintenance at a regularly scheduled time,
104327,00173771,n,10,the job of a professional coach,
104328,00173872,n,10,"a job for performers or performing groups that lasts for a limited period of time: ""the play had bookings throughout the summer""",2425
104329,00174085,n,10,"a booking for musicians: ""they played a gig in New Jersey""",2536
104330,00174193,n,10,changing to a lower state (a less respected state),
104331,00174476,n,10,"the act of degrading people with respect to their best qualities: ""science has been blamed for the dehumanization of modern life""",
104332,00174683,n,10,an act that makes people cruel or lacking normal human qualities,
104333,00174855,n,10,an act that makes people primitive and uncivilized,
104334,00174981,n,10,an act that debases or corrupts,
104335,00175090,n,10,"destroying someone's honesty or loyalty or moral integrity: ""corruption of a minor""",
104336,00175230,n,10,destroying the moral basis for a doctrine or policy,
104337,00175342,n,10,the act of making something futile and useless (as by routine),
104338,00175490,n,10,the act of making something attractive to the general public,
104339,00175673,n,10,depriving one of self-esteem,
104340,00175800,n,10,decline to a lower status or level,
104341,00175889,n,10,an act that change the light that something reflects,
104342,00176075,n,10,changing to a lighter color,
104343,00176189,n,10,the act of whitening something by bleaching it (exposing it to sunlight or using a chemical bleaching agent),
104344,00176350,n,10,changing to a darker color,
