7798,सुविनय,a,ap----a--a,,,,/su.ʋi.nə.jə/,सु-विनय,0
367450,,सुवृषलीक,a,ap----a--a,,,,/su.ʋɹ̩.ʂə.liː.kə/,सु-वृषलीक,0
367451,,सुवृष्ट,n,n-----n--a,,,,/su.ˈʋɹ̩ʂ.ʈə/,सु-वृष्ट,0
367452,,सुवृष्टि,n,n-----f--i,,,,/su.ˈʋɹ̩ʂ.ʈi/,सु-वृष्टि,0
367453,108476,सुयभ्या,n,n-----f--ā,,,,/su.ˈjəbʱ.jɑː/,सु-यभ्या,0
367454,108468,सुयज्,n,n-----f--c,,,,/su.jəd͡ʑ/,सु-य॔ज्,0
367455,,सुयज्,a,ap----a--c,,,,/su.jəd͡ʑ/,सु-य॔ज्,0
367456,108469,सुयजुस्,n,n-----m-su,,,,/su.jə.d͡ʑus/,सु-यजुस्,0
367458,,सुयज्ञ,a,ap----a--a,,,,/su.ˈjəd͡ʑ.ɲə/,सु-यज्ञ॔,0
367463,168250,सुयज्ञ,n,n-----m--a,,,,/su.ˈjəd͡ʑ.ɲə/,सु-यज्ञ॔,0
367466,217735,सुयज्ञा,n,n-----f--ā,,,,/su.ˈjəd͡ʑ.ɲɑː/,सु-यज्ञा,0
367467,108479,सुयम,a,ap----a--a,,ap----f--ā=>ा,,/su.jə.mə/,सु-य॔म,0
367468,108477,सुयम,n,n-----m--a,,,,/su.jə.mə/,सु-य॔म,0
367469,108478,सुयमा,n,n-----f--ā,,,,/su.jə.mɑː/,सु-य॔मा,0
367470,108475,सुयन्त्रित,a,ap----a--a,,,,/su.jən.t̪ɹi.t̪ə/,सु-यन्त्रित,0
367471,,सुयन्त्रितत्व,n,n-----n--a,,,,/su.jən.t̪ɹi.ˈt̪ət̪.ʋə/,सु-यन्त्रित-त्व,0
367472,108474,सुयन्तु,a,ap----a--u,,,,/su.jən.t̪u/,सु-य॔न्तु,0
367473,108473,सुयत,a,ap----a--a,,,,/su.jə.t̪ə/,सु॔-यत,0
367474,,सुयतात्मवत्,n,n-----m--c,,,,/su.jə.t̪ɑːt̪.mə.ʋət̪/,सु॔-यतात्म-वत्,0
367475,108481,सुयवस,n,n-----m--a,,,,/su.jə.ʋə.sə/,सु-य॔वस,0
367476,,सुयवस,n,n-----n--a,,,,/su.jə.ʋə.sə/,सु-य॔वस,0
367477,,सुयवस,a,ap----a--a,,ap----f--ā=>ा,,/su.jə.ʋə.sə/,सु-य॔वस,0
367478,,सुयवसे,r,rp--------,,,,/su.jə.ʋə.seː/,सु-य॔वसे,0
367479,,सुयवसिन्,a,ap----a--n,,,,/su.jə.ʋə.sin/,सु-य॔वसि॔न्,0
367480,,सुयवसोदक,a,ap----a--a,,,,/su.jə.ʋə.soː.d̪ə.kə/,सु-य॔वसोदक,0
367481,108483,सुयवसु,n,n-----m--u,,,,/su.jə.ʋə.su/,सु-यवसु,0
367482,,सुयवस्यु,a,ap----a--u,,,,/su.jə.ˈʋəs.ju/,सु-य॔वस्यु॔,0
367483,,सुयवसाद्,a,ap----a--c,,,,/su.jə.ʋə.sɑːd̪/,सु-य॔वसा॔द्,0
367484,108484,सुयश,a,ap----a--a,,,,/su.jə.ɕə/,सु-यश,0
367486,108489,सुयशस्,n,n-----f-sa,,,,/su.jə.ɕəs/,सु-यशस्,0
367487,,सुयशस्,n,n-----n-sa,,,,/su.jə.ɕəs/,सु-यशस्,0
367488,108488,सुयशस्,n,n-----m-sa,,,,/su.jə.ɕəs/,सु-यशस्,0
367489,,सुयशस्,a,ap----a-sa,,,,/su.jə.ɕəs/,सु॔-यशस्,0
367491,108485,सुयशा,n,n-----f--ā,,,,/su.jə.ɕɑː/,सु-यशा,0
367492,97508,सुयष्टव्य,n,n-----m--a,,,,/su.ˈjəʂ.ˈʈəʋ.jə/,सु-यष्टव्य,0
367493,97522,सुयोधन,n,n-----m--a,,,,/su.joː.d̪ʰə.nə/,सु-योधन,0
367494,97520,सुयोग,n,n-----m--a,,,,/su.joː.gə/,सु-योग,0
367495,97521,सुयोजित,a,ap----a--a,,,,/su.joː.d͡ʑi.t̪ə/,सु-योजित,0
367496,,सुयुद्ध,n,n-----n--a,,,,/su.ˈjud̪.d̪ʰə/,सु-युद्ध,0
367497,97517,सुयुज्,a,ap----a--c,,,,/su.jud͡ʑ/,सु-यु॔ज्,0
367498,,सुयुक्,r,rp--------,,,,/su.juk/,सु-यु॔क्,0
367499,,सुयुक्त,a,ap----a--a,,,,/su.ˈjuk.t̪ə/,सु-युक्त,0
367500,97516,सुयुक्ति,n,n-----f--i,,,,/su.ˈjuk.t̪i/,सु-युक्ति,0
367501,97518,सुयुत,a,ap----a--a,,,,/su.ju.t̪ə/,सु-युत,0
367502,97905,सुय्य,n,n-----n--a,,,,/ˈsuj.jə/,सुय्य,0
367503,97906,सुय्या,n,n-----f--ā,,,,/ˈsuj.jɑː/,सुय्या,0
367505,97908,सुय्याभिधान,a,ap----a--a,,,,/ˈsuj.jɑː.bʱi.d̪ʰɑː.nə/,सुय्याभिधान,0
367506,97907,सुय्याकुण्डल,n,n-----n--a,,,,/ˈsuj.jɑː.ˈkuɳ.ɖə.lə/,सुय्या-कुण्डल,0
367507,97909,सुय्यासेतु,n,n-----m--u,,,,/ˈsuj.jɑː.seː.t̪u/,सुय्या-सेतु,0
367508,97510,सुयाम,a,ap----a--a,,,,/su.jɑː.mə/,सु-याम॔,0
367509,97511,सुयाम,n,n-----m--a,,,,/su.jɑː.mə/,सु-याम॔,0
367511,97512,सुयामन्,n,n-----m--n,,,,/su.jɑː.mən/,सु-यामन्,0
367512,97513,सुयामुन,n,n-----m--a,,,,/su.jɑː.mu.nə/,सु-यामुन,0
367513,97509,सुयाति,n,n-----m--i,,,,/su.jɑː.t̪i/,सु-याति,0
367514,97514,सुयाशु,n,n-----f--u,,,,/su.jɑː.ɕu/,सु-या॔शु,0
367515,,सुशब्द,a,ap----a--a,,,,/su.ˈɕəb.d̪ə/,सु-शब्द,0
367516,,सुशब्दता,n,n-----f--ā,,,,/su.ˈɕəb.d̪ə.t̪ɑː/,सु-शब्द-ता,0
367517,98390,सुशक,a,ap----a--a,,ap----f--ā=>ा,,/su.ɕə.kə/,सु-श॔क,0
367518,98393,सुशक्त,a,ap----a--a,,,,/su.ˈɕək.t̪ə/,सु-शक्त,0
367519,98394,सुशक्ति,n,n-----f--i,,,,/su.ˈɕək.t̪i/,सु-श॔क्ति,0
367520,98395,सुशक्ति,a,ap----a--i,,,,/su.ˈɕək.t̪i/,सु-श॔क्ति,0
367521,98396,सुशक्ति,n,n-----m--i,,,,/su.ˈɕək.t̪i/,सु-श॔क्ति,0
367522,98391,सुशकुन,a,ap----a--a,,ap----f--ā=>ा,,/su.ɕə.ku.nə/,सु-शकुन,0
367523,98392,सुशकुन,n,n-----n--a,,,,/su.ɕə.ku.nə/,सु-शकुन,0
367524,98410,सुशल्य,n,n-----m--a,,,,/su.ˈɕəl.jə/,सु-शल्य,0
367525,98400,सुशम,n,n-----m--a,,,,/su.ɕə.mə/,सु-शम,0
367526,98401,सुशमि,r,rp--------,,,,/su.ɕə.mi/,सु-श॔मि,0
367527,98402,सुशमी,r,rp--------,,,,/su.ɕə.miː/,सु-श॔मी,0
367528,98398,सुशफगतिमुख,a,ap----a--a,,,,/su.ɕə.pʰə.gə.t̪i.mu.kʰə/,सु-शफ-गति-मुख,0
367529,98403,सुशर,a,ap----a--a,,,,/su.ɕə.ɹə/,सु-शर,0
367530,,सुशरण,a,ap----a--a,,,,/su.ɕə.ɹə.ɳə/,सु-शरण॔,0
367531,98405,सुशरण्य,a,ap----a--a,,,,/su.ɕə.ˈɹəɳ.jə/,सु-शरण्य,0
367532,,सुशर्मचन्द्र,n,n-----m--a,,,,/su.ˈɕəɹ.mə.t͡ɕən.d̪ɹə/,सु-श॔र्म-चन्द्र,0
367533,98407,सुशर्मन्,n,n-----n--n,,,,/su.ˈɕəɹ.mən/,सु-श॔र्मन्,0
367534,98408,सुशर्मन्,a,ap----a--n,,,,/su.ˈɕəɹ.mən/,सु-श॔र्मन्,0
367538,98409,सुशर्मन्,n,n-----m--n,,,,/su.ˈɕəɹ.mən/,सु-श॔र्मन्,0
367543,,सुशर्मन्नगर,n,n-----n--a,,,,/su.ˈɕəɹ.mən.nə.gə.ɹə/,सु-श॔र्मन्-नगर,0
367544,,सुशर्मन्पुर,n,n-----n--a,,,,/su.ˈɕəɹ.mən.pu.ɹə/,सु-श॔र्मन्-पुर,0
367545,98406,सुशरीर,a,ap----a--a,,,,/su.ɕə.ɹiː.ɹə/,सु-शरीर,0
367546,,सुशस्त,a,ap----a--a,,,,/su.ˈɕəs.t̪ə/,सु-शस्त,0
367547,,सुशस्ति,n,n-----f--i,,,,/su.ˈɕəs.t̪i/,सु-शस्ति॔,0
367548,,सुशस्ति,a,ap----a--i,,,,/su.ˈɕəs.t̪i/,सु-शस्ति॔,0
367549,98388,सुशंस,a,ap----a--a,,,,/su.ˈɕə̃.sə/,सु-श॔ंस,0
367550,98389,सुशंसिन्,a,ap----a--n,,,,/su.ˈɕə̃.sin/,सु-शंसि॔न्,0
367551,98397,सुशठ,a,ap----a--a,,,,/su.ɕə.ʈʰə/,सु-शठ,0
367552,98473,सुश्चन्द्र,a,ap----a--a,,,,/suɕt͡ɕənd̪ɹə/,सु-श्चन्द्र॔,0
367553,98505,सुशेरु,n,n-----m--u,,,,/su.ɕeː.ɹu/,सुशे॔रु,0
367554,,सुशेव,a,ap----a--a,,,,/su.ɕeː.ʋə/,सु-शे॔व,0
367555,98463,सुशेवस्,a,ap----a-sa,,,,/su.ɕeː.ʋəs/,सु-शे॔वस्,0
367556,,सुशेव्य,a,ap----a--a,,,,/su.ɕeːʋ.jə/,सु-शे॔व्य,0
367557,98426,सुशिख,a,ap----a--a,,,,/su.ɕi.kʰə/,सु-शिख,0
367558,98427,सुशिख,n,n-----m--a,,,,/su.ɕi.kʰə/,सु-शिख,0
367559,98428,सुशिखा,n,n-----f--ā,,,,/su.ɕi.kʰɑː/,सु-शिखा,0
367561,,सुशिखासमूह,n,n-----m--a,,,,/su.ɕi.kʰɑː.sə.muː.ɦə/,सु-शिखा-समूह,0
367562,,सुशिक्षित,a,ap----a--a,,,,/su.ˈɕik.ʂi.t̪ə/,सु-शिक्षित,0
367563,98435,सुशिल्प,a,ap----a--a,,ap----f--ā=>ा,,/su.ˈɕil.pə/,सु-शिल्प॔,0
367564,98433,सुशिम्बिका,n,n-----f--ā,,,,/su.ɕim.bi.kɑː/,सु-शिम्बिका,0
367565,98431,सुशिप्र,a,ap----a--a,,,,/su.ˈɕip.ɹə/,सु-शिप्र॔,0
367566,98432,सुशिप्रिन्,a,ap----a--n,,,,/su.ˈɕip.ɹin/,सु-शिप्रिन्,0
367567,,सुशिरस्,a,ap----a-sa,,,,/su.ɕi.ɹəs/,सु-शिरस्,0
367568,98429,सुशिथिल,a,ap----a--a,,,,/su.ɕi.t̪ʰi.lə/,सु-शिथिल,0
367569,,सुशिथिलीकृत,a,ap----a--a,,,,/su.ɕi.t̪ʰi.liː.kɹ̩.t̪ə/,सु-शिथिली-कृत,0
367570,98436,सुशिश्वि,a,ap----a--i,,,,/suɕiɕʋi/,सु-शिश्वि,0
367571,98440,सुशिष्य,n,n-----m--a,,,,/su.ˈɕiʂ.jə/,सु-शिष्य,0
367572,98438,सुशिष्ट,n,n-----m--a,,,,/su.ˈɕiʂ.ʈə/,सु-शिष्ट,0
367573,98437,सुशिष्ट,a,ap----a--a,,,,/su.ˈɕiʂ.ʈə/,सु-शिष्ट,0
367574,98439,सुशिष्टि,n,n-----f--i,,,,/su.ˈɕiʂ.ʈi/,सु-शिष्टि,0
367575,,सुश्लक्ष्ण,a,ap----a--a,,ap----f--ā=>ा,,/suɕləkʂɳə/,सु-श्लक्ष्ण,0
367576,,सुश्लक्ष्णम्,r,rp--------,,,,/suɕləkʂɳəm/,सु-श्लक्ष्णम्,0
367577,98499,सुश्लेष,n,n-----m--a,,,,/suɕleːʂə/,सु-श्लेष,0
367578,98500,सुश्लेष,a,ap----a--a,,,,/suɕleːʂə/,सु-श्लेष,0
