7,अयुताध्यापक,n,n-----m--a,,,,/ə.ju.t̪ɑːd̪ʰ.jɑː.pə.kə/,अयुताध्यापक,0
224562,,अयाज्ययाजन,n,n-----n--a,,,,/ə.jɑːd͡ʑ.jə.jɑː.d͡ʑə.nə/,अ-याज्य॔-याजन,0
224563,32392,अयाम,n,n-----m--a,,,,/ə.jɑː.mə/,अ॔-याम,0
224564,32393,अयामन्,n,n-----n--n,,,,/ə.jɑː.mən/,अ॔-यामन्,0
224565,32388,अयान,n,n-----n--a,,,,/ə.jɑː.nə/,अ-यान,0
224566,32389,अयानय,n,n-----n--a,,,,/ə.jɑː.nə.jə/,अयानय,0
224567,32390,अयानय,n,n-----m--a,,,,/ə.jɑː.nə.jə/,अयानय,0
224568,,अयानयीन,n,n-----m--a,,,,/ə.jɑː.nə.jiː.nə/,अयानयीन,0
224569,32223,अयान्वित,n,n-----m--a,,,,/ə.jɑːn.ʋi.t̪ə/,अयान्वित,0
224570,32222,अयान्वित,a,ap----a--a,,,,/ə.jɑːn.ʋi.t̪ə/,अयान्वित,0
224572,32396,अयास्,a,ap----a-sā,,,,/ə.jɑːs/,अया॔स्,0
224573,32399,अयासोमीय,n,n-----n--a,,,,/ə.jɑː.soːmiː.jə/,अयासोमीय,0
224574,32398,अयास्य,n,n-----m--a,,,,/ə.jɑːs.jə/,अया॔स्य,0
224575,32397,अयास्य,a,ap----a--a,,,,/ə.jɑːs.jə/,अया॔स्य,0
224576,32376,अयात,a,ap----a--a,,,,/ə.jɑː.t̪ə/,अ-यात॔,0
224577,32377,अयातयाम,a,ap----a--a,,,,/ə.jɑː.t̪ə.jɑː.mə/,अ॔-यातयाम,0
224578,32378,अयातयाम,n,n-----n--a,,,,/ə.jɑː.t̪ə.jɑː.mə/,अ॔-यातयाम,0
224579,32381,अयातयामन्,a,ap----a--n,,ap----f--ī=>म्नी,,/ə.jɑː.t̪ə.jɑː.mən/,अ॔-यातयामन्,0
224580,32380,अयातयामत्व,n,n-----n--a,,,,/ə.jɑː.t̪ə.jɑː.ˈmət̪.ʋə/,अ॔-यातयाम-त्व,0
224581,,अयातयामता,n,n-----f--ā,,,,/ə.jɑː.t̪ə.jɑː.mə.t̪ɑː/,अ॔-यातयाम-ता,0
224582,32385,अयाथापुर्य,n,n-----n--a,,,,/ə.jɑː.t̪ʰɑː.ˈpuɹ.jə/,अ-याथापुर्य,0
224583,32386,अयाथार्थिक,a,ap----a--a,,,,/ə.jɑː.t̪ʰɑːɹ.t̪ʰi.kə/,अ-याथार्थिक,0
224584,32387,अयाथार्थ्य,n,n-----n--a,,,,/ə.jɑː.t̪ʰɑːɹ.t̪ʰjə/,अ-याथार्थ्य,0
224585,32384,अयाथातथ्य,n,n-----n--a,,,,/ə.jɑː.t̪ʰɑː.ˈt̪ət̪ʰ.jə/,अ-याथातथ्य,0
224586,,अयात्रिक,a,ap----a--a,,,,/ə.jɑːt̪.ɹi.kə/,अयात्रिक,0
224587,32383,अयात्रा,n,n-----f--ā,,,,/ə.jɑːt̪.ɹɑː/,अ-यात्रा,0
224588,,अयात्रीय,a,ap----a--a,,,,/ə.jɑːt̪.ɹiː.jə/,अयात्रीय,0
224589,32382,अयातु,n,n-----m--u,,,,/ə.jɑː.t̪u/,अ॔-यातु,0
224590,32293,अयाव,n,n-----m--a,,,,/ə.jɑː.ʋə/,अ॔-याव,0
224591,32298,अयाव,a,ap----a--a,,,,/ə.jɑː.ʋə/,अ-याव,0
224592,32294,अयावन्,n,n-----m--n,,,,/ə.jɑː.ʋən/,अ॔-यावन्,0
224593,32394,अयावन,n,n-----n--a,,,,/ə.jɑː.ʋə.nə/,अ-यावन,0
224594,,अयाशय,a,ap----a--a,,,,/ə.jɑː.ɕə.jə/,अया-शय॔,0
224595,32395,अयाशु,a,ap----a--u,,,,/ə.jɑː.ɕu/,अ-याशु॔,0
224596,32375,अयाट्कार,n,n-----m--a,,,,/ə.jɑːʈ.kɑː.ɹə/,अयाट्-कार॔,0
224597,32463,अयूप,n,n-----m--a,,,,/ə.juː.pə/,अ-यूप,0
224598,,अयूथिक,a,ap----a--a,,,,/ə.juː.t̪ʰi.kə/,अ-यूथिक,0
224599,,अञ्च्,v,v----a--1- v----d--1- v----a--0- v----d--0-,,,,/ɲt͡ɕ/,अञ्च्,0
224600,6637,अञ्चल,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=अञ्चल",/əɲ.t͡ɕə.lə/,अञ्चल,0
224601,6636,अञ्चन,n,n-----n--a,,,,/əɲ.t͡ɕə.nə/,अञ्चन,0
224602,6634,अञ्चति,n,n-----m--i,,,,/əɲ.t͡ɕə.t̪i/,अञ्चति,0
224603,6635,अञ्चती,n,n-----f--ī,,,,/əɲ.t͡ɕə.t̪iː/,अञ्चती,0
224604,6638,अञ्चित,a,ap----a--a,,,,/əɲ.t͡ɕi.t̪ə/,अञ्चित,0
224605,6641,अञ्चितभ्रू,n,n-----f--ū,,,,/əɲ.t͡ɕi.ˈt̪əbʱ.ɹuː/,अञ्चित-भ्रू,0
224606,,अञ्चितलाङ्गूल,a,ap----a--a,,,,/əɲ.t͡ɕi.t̪ə.lɑːŋ.guː.lə/,अञ्चित-लाङ्गूल,0
224607,6639,अञ्चितपत्त्र,n,n-----m--a,,,,/əɲ.t͡ɕi.t̪ə.ˈpət̪.t̪ɹə/,अञ्चित-पत्त्र,0
224608,6640,अञ्चितपत्त्राक्ष,a,ap----a--a,,,,/əɲ.t͡ɕi.t̪ə.ˈpət̪.t̪ɹɑːk.ʂə/,अञ्चित-पत्त्राक्ष,0
224609,,अञ्ज्,v,v----a--7- v----d--7-,,,,/ɲd͡ʑ/,अञ्ज्,0
224610,,अञ्जह्सव,n,n-----m--a,,,,/əɲ.ˈd͡ʑəh.sə.ʋə/,अञ्जः-सव॔,0
224611,6643,अञ्जक,n,n-----m--a,,,,/əɲ.d͡ʑə.kə/,अञ्जक,0
224612,6672,अञ्जलि,n,n-----m--i,,,,/əɲ.d͡ʑə.li/,अञ्जलि॔,0
224613,6676,अञ्जलिबन्धन,n,n-----n--a,,,,/əɲ.d͡ʑə.li.bən.d̪ʰə.nə/,अञ्जलि॔-बन्धन,0
224614,6678,अञ्जलिक,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=अञ्जलिक",/əɲ.d͡ʑə.li.kə/,अञ्जलिक,0
224615,,अञ्जलिकर्मन्,n,n-----n--n,,,,/əɲ.d͡ʑə.li.ˈkəɹ.mən/,अञ्जलि॔-कर्मन्,0
224616,6679,अञ्जलिका,n,n-----f--ā,,,,/əɲ.d͡ʑə.li.kɑː/,अञ्जलिका,0
224617,6674,अञ्जलिकारिका,n,n-----f--ā,,,,/əɲ.d͡ʑə.li.kɑː.ɹi.kɑː/,अञ्जलि॔-कारिका,0
224618,6675,अञ्जलिपुट,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=अञ्जलिपुट",/əɲ.d͡ʑə.li.pu.ʈə/,अञ्जलि॔-पुट,0
224619,6677,अञ्जलीकृत,a,ap----a--a,,,,/əɲ.d͡ʑə.liː.kɹ̩.t̪ə/,अञ्जली-कृत,0
224621,6646,अञ्जन,n,n-----n--a,,,,/əɲ.d͡ʑə.nə/,अञ्जन,0
224625,6644,अञ्जन,n,n-----m--a,,,,/əɲ.d͡ʑə.nə/,अञ्जन,0
224628,6655,अञ्जनक,n,n-----m--a,,,,/əɲ.d͡ʑə.nə.kə/,अञ्जनक,0
224629,6647,अञ्जनकेश,a,ap----a--a,,ap----f--ī=>ी,,/əɲ.d͡ʑə.nə.keː.ɕə/,अञ्जन-केश,0
224630,6648,अञ्जनकेशी,n,n-----f--ī,,,,/əɲ.d͡ʑə.nə.keː.ɕiː/,अञ्जन-केशी,0
224631,6656,अञ्जनकी,n,n-----f--ī,,,,/əɲ.d͡ʑə.nə.kiː/,अञ्जनकी,0
224632,6649,अञ्जननामिका,n,n-----f--ā,,,,/əɲ.d͡ʑə.nə.nɑː.mi.kɑː/,अञ्जन-नामिका,0
224633,6650,अञ्जनवत्,r,rp--------,,,,/əɲ.d͡ʑə.nə.ʋət̪/,अञ्जन-वत्,0
224634,6657,अञ्जनिका,n,n-----f--ā,,,,/əɲ.d͡ʑə.ni.kɑː/,अञ्जनिका,0
224635,6645,अञ्जना,n,n-----f--ā,,,,/əɲ.d͡ʑə.nɑː/,अञ्जना,0
224637,6652,अञ्जनाधिका,n,n-----f--ā,,,,/əɲ.d͡ʑə.nɑː.d̪ʰi.kɑː/,अञ्जनाधिका,0
224638,6651,अञ्जनागिरि,n,n-----m--i,,,,/əɲ.d͡ʑə.nɑː.gi.ɹi/,अञ्जना-गिरि,0
224639,6653,अञ्जनाम्भस्,n,n-----n-sa,,,,/əɲ.d͡ʑə.nɑːm.bʱəs/,अञ्जनाम्भस्,0
224640,6654,अञ्जनावती,n,n-----f--ī,,,,/əɲ.d͡ʑə.nɑː.ʋə.t̪iː/,अञ्जना-वती,0
224641,6658,अञ्जनी,n,n-----f--ī,,,,/əɲ.d͡ʑə.niː/,अञ्जनी,0
224642,6660,अञ्जस्,r,rp--------,,,,/əɲ.d͡ʑəs/,अ॔ञ्जस्,0
224644,6659,अञ्जस्,n,n-----n-sa,,,,/əɲ.d͡ʑəs/,अ॔ञ्जस्,0
224645,6662,अञ्जस,a,ap----a--a,,,,/əɲ.d͡ʑə.sə/,अञ्जस,0
224646,218973,अञ्जस्पा,a,ap----a--ā,,,,/əɲ.ˈd͡ʑəs.pɑː/,अञ्जस्-पा॔,0
224647,6663,अञ्जसा,r,rp--------,,,,/əɲ.d͡ʑə.sɑː/,अ॔ञ्जसा,0
224648,,अञ्जसायन,a,ap----a--a,,ap----f--ī=>ी,,/əɲ.d͡ʑə.sɑː.jə.nə/,अञ्जसायन,0
224649,,अञ्जसी,n,n-----f--ī,,,,/əɲ.d͡ʑə.siː/,अञ्जसी॔,0
224650,6665,अञ्जसीन,a,ap----a--a,,,,/əɲ.d͡ʑə.siː.nə/,अञ्जसी॔न,0
224651,219322,अञ्जि,a,ap----a--i,,,,/əɲ.d͡ʑi/,अञ्जि॔,0
224652,6667,अञ्जि,n,n-----m--i,,,,/əɲ.d͡ʑi/,अञ्जि,0
224653,6681,अञ्जिहिषा,n,n-----f--ā,,,,/əɲ.d͡ʑi.ɦi.ʂɑː/,अञ्जिहिषा,0
224654,6680,अञ्जिक,n,n-----m--a,,,,/əɲ.d͡ʑi.kə/,अञ्जिक,0
224655,,अञ्जिमत्,a,ap----a--c,,,,/əɲ.d͡ʑi.mət̪/,अञ्जि॔-म॔त्,0
224656,6668,अञ्जिसक्थ,a,ap----a--a,,,,/əɲ.d͡ʑi.ˈsək.t̪ʰə/,अञ्जि॔-सक्थ॔,0
224657,6670,अञ्जिव,a,ap----a--a,,,,/əɲ.d͡ʑi.ʋə/,अञ्जिव॔,0
224658,,अञ्जिष्णु,n,n-----m--u,,,,/əɲ.ˈd͡ʑiʂ.ɳu/,अञ्जिष्णु,0
224659,6671,अञ्जिष्ठ,n,n-----m--a,,,,/əɲ.ˈd͡ʑiʂ.ʈʰə/,अञ्जिष्ठ,0
224660,,अञ्जिष्ठु,n,n-----m--u,,,,/əɲ.ˈd͡ʑiʂ.ʈʰu/,अञ्जिष्ठु,0
224661,6669,अञ्ज्येत,a,ap----a--a,,,,/əɲd͡ʑjeː.t̪ə/,अञ्ज्य्-एत॔,0
224662,6682,अञ्जी,n,n-----f--ī,,,,/əɲ.d͡ʑiː/,अञ्जी,0
224663,6683,अञ्जीर,n,n-----n--a,,,,/əɲ.d͡ʑiː.ɹə/,अञ्जीर,0
224664,,अश्,v,v----d---- v----a----,,,,/ɕ/,अश्,0
224665,59905,अशब्द,a,ap----a--a,,,,/ˈəɕəb.d̪ə/,अ॔-शब्द,0
224666,60034,अशैक्ष,n,n-----m--a,,,,/əɕɑːik.ʂə/,अ-शैक्ष,0
224667,170919,अशक्नुवत्,a,ap----a--c,,,,/ˈəɕək.nu.ʋət̪/,अ-शक्नुवत्,0
224668,211167,अशक्नुवान,a,ap----a--a,,,,/ˈəɕək.nu.ʋɑː.nə/,अ-शक्नुवान,0
224669,59880,अशक्त,a,ap----a--a,,,,/ˈəɕək.t̪ə/,अ-शक्त,0
224670,,अशक्तभर्तृक,a,ap----a--a,,,,/ˈəɕək.t̪ə.ˈbʱəɹ.t̪ɹ̩.kə/,अ-शक्त-भर्तृक,0
224671,59881,अशक्ति,n,n-----f--i,,,,/ˈəɕək.t̪i/,अ-शक्ति,0
224672,,अशकुम्भी,n,n-----f--ī,,,,/əɕə.kum.bʱiː/,अश-कुम्भी,0
224673,59878,अशकुन,n,n-----n--a,,,n-----f--ā=अशकुनआ,/əɕə.ku.nə/,अ-शकुन,0
224674,,अशकुनीभू,v,v----a--1-,,,,/əɕə.ku.niː.bʱuː/,अशकुनी-भू,0
224675,59882,अशक्य,a,ap----a--a,,,,/ˈəɕək.jə/,अ-शक्य,0
224676,59884,अशक्यत्व,n,n-----n--a,,,,/ˈəɕək.ˈjət̪.ʋə/,अ-शक्य-त्व,0
224677,,अशक्यता,n,n-----f--ā,,,,/ˈəɕək.jə.t̪ɑː/,अ-शक्य-ता,0
224678,,अशक्यार्थ,a,ap----a--a,,,,/ˈəɕək.jɑːɹ.t̪ʰə/,अशक्यार्थ,0
224679,59906,अशम्,r,rp--------,,,,/əɕəm/,अ॔-शम्,0
224680,59907,अशम,n,n-----m--a,,,,/əɕə.mə/,अ-शम,0
224681,59908,अशमरथंभावुक,a,ap----a--a,,,,/əɕə.mə.ɹə.t̪ʰəm.bʱɑː.ʋu.kə/,अ-शम-रथं-भावुक,0
224682,59895,अशन्,n,n-----m--n,,,,/əɕən/,अ॔शन्,0
224685,,अशनक्रिया,n,n-----f--ā,,,,/əɕə.ˈnək.ɹi.jɑː/,अशन-क्रिया,0
224686,59859,अशनकृत्,a,ap----a--c,,,,/əɕə.nə.kɹ̩t̪/,अ॔शन-कृ॔त्,0
224687,59860,अशनपति,n,n-----m--i,,,,/əɕə.nə.pə.t̪i/,अ॔शन-पति,0
224688,59861,अशनवत्,a,ap----a--c,,,,/əɕə.nə.ʋət̪/,अ॔शन-वत्,0
224689,59897,अशनि,n,n-----m--i,,,n-----f--i=अशनि,/əɕə.ni/,अश॔नि,0
224693,,अशनिग्रावन्,n,n-----m--n,,,,/əɕə.ˈnig.ɹɑː.ʋən/,अशनि-ग्रावन्,0
224694,,अशनिहत,a,ap----a--a,,,,/əɕə.ni.ɦə.t̪ə/,अश॔नि-हत,0
224695,59901,अशनिक,a,ap----a--a,,,,/əɕə.ni.kə/,अशनिक,0
224696,59899,अशनिमत्,a,ap----a--c,,,,/əɕə.ni.mət̪/,अश॔नि-मत्,0
224697,,अशनिन्,a,ap----a--n,,,,/əɕə.nin/,अशनिन्,0
224698,59898,अशनिप्रभ,n,n-----m--a,,,,/əɕə.ˈnip.ɹə.bʱə/,अश॔नि-प्रभ,0
224699,59857,अशना,n,n-----f--ā,,,,/əɕə.nɑː/,अ॔शना,0
224700,,अशनानशन,n,n-----n--a,,,,/əɕə.nɑː.nə.ɕə.nə/,अशनानशन॔,0
224702,59866,अशनायित,a,ap----a--a,,,,/əɕə.nɑː.ji.t̪ə/,अशनायित,0
224703,59867,अशनायुक,a,ap----a--a,,,,/əɕə.nɑː.ju.kə/,अशना॔युक,0
224704,59863,अशनाया,n,n-----f--ā,,,,/əɕə.nɑː.jɑː/,अशनाया॔,0
224705,59865,अशनायावत्,a,ap----a--c,,,,/əɕə.nɑː.jɑː.ʋət̪/,अशनाया॔-वत्,0
224706,59903,अशनी,n,n-----f--ī,,,,/əɕə.niː/,अशनी,0
224708,,अशनीश,n,n-----m--a,,,,/əɕə.niː.ɕə/,अश-नीश,0
224709,,अशपत्,a,ap----a--c,,,,/əɕə.pət̪/,अ॔-शपत्,0
224710,59912,अशरमय,a,ap----a--a,,,,/əɕə.ɹə.mə.jə/,अ॔-शरमय,0
224711,59913,अशरव्य,a,ap----a--a,,ap----f--ā=>ा,,/əɕə.ˈɹəʋ.jə/,अ-शरव्य॔,0
224712,59909,अशरण,a,ap----a--a,,ap----f--ā=>ा,,/əɕə.ɹə.ɳə/,अ-शरण,0
224713,59911,अशरण्य,a,ap----a--a,,,,/əɕə.ˈɹəɳ.jə/,अ-शरण्य,0
224714,59910,अशरणीकृत,a,ap----a--a,,,,/əɕə.ɹə.ɳiː.kɹ̩.t̪ə/,अशरणी-कृत,0
224715,59918,अशर्मन्,n,n-----n--n,,,,/ˈəɕəɹ.mən/,अ-शर्मन्,0
224716,59914,अशरीर,a,ap----a--a,,ap----f--ā=>ा,,/əɕə.ɹiː.ɹə/,अ-शरी॔र,0
224717,59916,अशरीर,n,n-----n--a,,,,/əɕə.ɹiː.ɹə/,अ-शरी॔र,0
224718,59915,अशरीर,n,n-----m--a,,,,/əɕə.ɹiː.ɹə/,अ-शरी॔र,0
224719,59917,अशरीरिन्,a,ap----a--n,,,,/əɕə.ɹiː.ɹin/,अ-शरीरिन्,0
224720,59920,अशस्,a,ap----a-sa,,,,/əɕəs/,अ-श॔स्,0
224721,59921,अशस्त,a,ap----a--a,,,,/ˈəɕəs.t̪ə/,अ॔-शस्त,0
224722,59922,अशस्तवार,a,ap----a--a,,,,/ˈəɕəs.t̪ə.ʋɑː.ɹə/,अ॔-शस्त-वार,0
224723,59923,अशस्ति,n,n-----f--i,,,,/ˈəɕəs.t̪i/,अ॔-शस्ति,0
224724,,अशस्तिहन्,a,ap----a--n,,,,/ˈəɕəs.t̪i.ɦən/,अ॔-शस्ति-ह॔न्,0
224725,59925,अशस्त्र,a,ap----a--a,,,,/ˈəɕəs.t̪ɹə/,अ-शस्त्र,0
224727,59926,अशस्त्रपाणि,a,ap----a--i,,,,/ˈəɕəs.t̪ɹə.pɑː.ɳi/,अ-शस्त्र-पाणि,0
224728,59890,अशत,n,n-----n--a,,,,/əɕə.t̪ə/,अ॔-शत,0
224729,59891,अशतदक्षिण,a,ap----a--a,,,,/əɕə.t̪ə.ˈd̪ək.ʂi.ɳə/,अ॔-शत-दक्षिण,0
224730,59892,अशत्रु,a,ap----a--u,,,,/ˈəɕət̪.ɹu/,अ-शत्रु॔,0
224731,59894,अशत्रु,n,n-----n--u,,,,/ˈəɕət̪.ɹu/,अ-शत्रु॔,0
224732,59893,अशत्रु,n,n-----m--u,,,,/ˈəɕət̪.ɹu/,अ-शत्रु,0
224733,59997,अशौच,n,n-----n--a,,,,/ˈəɕəौ.t͡ɕə/,अ-शौच,0
224734,60068,अशौर्य,n,n-----n--a,,,,/ˈəɕəौ.ɹjə/,अ-शौर्य,0
224735,60067,अशौण्डीर्य,n,n-----n--a,,,,/ˈəɕəौɳ.ɖiːɹ.jə/,अ-शौण्डीर्य,0
224736,60066,अशौटीर्य,n,n-----n--a,,,,/ˈəɕəौ.ʈiːɹ.jə/,अ-शौटीर्य,0
224737,59919,अशवाग्नि,n,n-----m--i,,,,/əɕə.ʋɑːg.ni/,अ॔-शवाग्नि,0
224738,,अशय्य,n,n-----m--a,,,,/ˈəɕəj.jə/,अ-शय्य,0
224739,59886,अशङ्क,a,ap----a--a,,,,/əɕəŋ.kə/,अ-शङ्क,0
224740,,अशङ्कम्,r,rp--------,,,,/əɕəŋ.kəm/,अ-शङ्कम्,0
224741,,अशङ्कया,r,rp--------,,,,/əɕəŋ.kə.jɑː/,अ-शङ्कया,0
224742,59887,अशङ्कित,a,ap----a--a,,,,/əɕəŋ.ki.t̪ə/,अ-शङ्कित,0
224744,,अशङ्कितम्,r,rp--------,,,,/əɕəŋ.ki.t̪əm/,अ-शङ्कितम्,0
224745,59888,अशङ्क्य,a,ap----a--a,,,,/əɕəŋ.kjə/,अ-शङ्क्य,0
224746,59889,अशठ,a,ap----a--a,,ap----f--ā=>ा,,/əɕə.ʈʰə/,अ-शठ,0
224747,60025,अशेव,a,ap----a--a,,ap----f--ā=>ा,,/əɕeː.ʋə/,अ॔-शेव,0
224748,60026,अशेष,a,ap----a--a,,ap----f--ā=>ा,,/əɕeː.ʂə/,अ-शेष,0
224749,60027,अशेष,n,n-----m--a,,,,/əɕeː.ʂə/,अ-शेष,0
224750,,अशेषम्,r,rp--------,,,,/əɕeː.ʂəm/,अ-शेषम्,0
224751,60032,अशेषस्,a,ap----a-sa,,,,/əɕeː.ʂəs/,अ-शे॔षस्,0
224752,60031,अशेषसाम्राज्य,n,n-----m--a,,,,/əɕeː.ʂə.sɑːm.ɹɑːd͡ʑ.jə/,अ-शेष-साम्राज्य,0
224753,60028,अशेषतस्,r,rp--------,,,,/əɕeː.ʂə.t̪əs/,अ-शेष-तस्,0
224754,60030,अशेषत्व,n,n-----n--a,,,,/əɕeː.ˈʂət̪.ʋə/,अ-शेष-त्व,0
224755,60029,अशेषता,n,n-----f--ā,,,,/əɕeː.ʂə.t̪ɑː/,अ-शेष-ता,0
224757,203469,अशेषेण,r,rp--------,,,,/əɕeː.ʂeː.ɳə/,अ-शेषेण,0
224758,60033,अशेषित,a,ap----a--a,,,,/əɕeː.ʂi.t̪ə/,अशेषित,0
224759,,अशिख,a,ap----a--a,,,,/əɕi.kʰə/,अ-शिख,0
224760,59941,अशिक्षित,a,ap----a--a,,,,/ˈəɕik.ʂi.t̪ə/,अ-शिक्षित,0
224761,,अशिल,a,ap----a--a,,,,/əɕi.lə/,अ-शिल,0
224762,59946,अशिमिद,a,ap----a--a,,ap----f--ā=>ा,,/əɕi.mi.d̪ə/,अ-शिमिद॔,0
224763,59947,अशिमिविद्विष्,a,ap----a--c,,,,/əɕi.mi.ˈʋid̪.ʋiʂ/,अ-शिमि-विद्वि॔ष्,0
224764,59855,अशिन्,a,ap----a--n,,,,/əɕin/,अशिन्,0
224765,59945,अशिपद,a,ap----a--a,,ap----f--ā=>ा,,/əɕi.pə.d̪ə/,अ-शिपद॔,0
224766,59950,अशिर,n,n-----n--a,,,,/əɕi.ɹə/,अशिर,0
224767,59948,अशिर,n,n-----m--a,,,,/əɕi.ɹə/,अशिर,0
224768,,अशिरह्स्नान,n,n-----n--a,,,,/əɕi.ˈɹəhs.nɑː.nə/,अ-शिरः-स्नान,0
224769,59951,अशिरस्,a,ap----a-sa,,,,/əɕi.ɹəs/,अ-शिरस्,0
224770,59953,अशिरस्क,a,ap----a--a,,,,/əɕi.ˈɹəs.kə/,अ-शिरस्क,0
224771,,अशित,a,ap----a--a,,ap----f--ā=>ा,,/əɕi.t̪ə/,अशित॔,0
224772,59869,अशित,n,n-----n--a,,,,/əɕi.t̪ə/,अशित॔,0
224773,,अशितव्य,a,ap----a--a,,,,/əɕi.ˈt̪əʋ.jə/,अशितव्य^,0
224774,,अशितंगवीन,a,ap----a--a,,,,/əɕi.t̪əŋ.gə.ʋiː.nə/,अशित॔-ं-गवीन,0
224775,59943,अशिथिल,a,ap----a--a,,ap----f--ā=>ा,,/əɕi.t̪ʰi.lə/,अ॔-शिथिल,0
224776,59944,अशिथिलंभाव,n,n-----m--a,,,,/əɕi.t̪ʰi.ləm.bʱɑː.ʋə/,अ॔-शिथिल-ं-भाव,0
224777,59942,अशिथिर,a,ap----a--a,,,,/əɕi.t̪ʰi.ɹə/,अ॔-शिथिर,0
224778,59874,अशित्र,n,n-----n--a,,,,/ˈəɕit̪.ɹə/,अशित्र,0
224779,59871,अशितावत्,a,ap----a--c,,,,/əɕi.t̪ɑː.ʋət̪/,अशिता॔-वत्,0
224780,59873,अशितृ,n,n-----m--r,,,,/əɕi.t̪ɹ̩/,अशितृ॔,0
224781,59955,अशिव,a,ap----a--a,,ap----f--ā=>ा,,/əɕi.ʋə/,अ॔-शिव,0
224782,59956,अशिव,n,n-----m--a,,,,/əɕi.ʋə/,अ॔-शिव,0
224783,59957,अशिव,n,n-----n--a,,,,/əɕi.ʋə/,अ॔-शिव,0
224784,59958,अशिशिर,a,ap----a--a,,ap----f--ā=>ा,,/əɕi.ɕi.ɹə/,अ-शिशिर,0
224785,59959,अशिशिरकर,n,n-----m--a,,,,/əɕi.ɕi.ɹə.kə.ɹə/,अ-शिशिर-कर,0
224786,59960,अशिशिरकिरण,n,n-----m--a,,,,/əɕi.ɕi.ɹə.ki.ɹə.ɳə/,अ-शिशिर-किरण,0
224787,,अशिशिररश्मि,n,n-----m--i,,,,/əɕiɕiɹəɹəɕmi/,अ-शिशिर-रश्मि,0
224788,,अशिशिरता,n,n-----f--ā,,,,/əɕi.ɕi.ɹə.t̪ɑː/,अ-शिशिर-ता,0
224789,59875,अशिशिषु,a,ap----a--u,,,,/əɕi.ɕi.ʂu/,अशिशिषु,0
